,activation,alpha,batch_size,estimator,hidden_layer_sizes1,hidden_layer_sizes2,max_iter,solver
0,0,0.003072944661003228,64.0,0,76.0,39.0,3213.0,1
1,2,0.006021833075735409,148.0,0,54.0,49.0,4709.0,0
2,2,0.007098596588822295,78.0,0,97.0,38.0,3747.0,1
3,0,0.005542918067605387,51.0,0,97.0,48.0,4133.0,1
4,0,0.007139513895384246,62.0,0,100.0,44.0,4185.0,0
5,0,0.0071189903996210675,130.0,0,95.0,39.0,4944.0,1
6,2,0.00412501343874469,56.0,0,59.0,40.0,4165.0,1
7,2,0.008899446040476046,78.0,0,76.0,39.0,3096.0,1
8,0,0.007727539049669894,91.0,0,100.0,45.0,2721.0,1
9,2,0.009901019458526377,68.0,0,69.0,46.0,2704.0,1
10,0,0.005991385500787381,117.0,0,78.0,31.0,3838.0,1
11,0,0.0026316731713498407,117.0,0,73.0,48.0,4822.0,1
12,0,0.005742474401860199,118.0,0,64.0,39.0,4391.0,1
13,2,0.006277332947238099,130.0,0,61.0,44.0,3982.0,1
14,0,0.009916661230016468,87.0,0,50.0,41.0,3229.0,0
15,0,0.002894974250369344,96.0,0,89.0,41.0,4531.0,1
16,0,0.0029699307155289633,124.0,0,55.0,47.0,2573.0,1
17,1,0.007084817164629681,59.0,0,88.0,45.0,4377.0,1
18,0,0.005313817929843953,57.0,0,76.0,37.0,2870.0,1
19,0,0.007400873094488852,71.0,0,57.0,35.0,4635.0,1
20,0,0.008952229146890294,54.0,0,63.0,45.0,2690.0,1
21,0,0.0012205866380815417,83.0,0,86.0,41.0,4811.0,1
22,0,0.008186118899319384,93.0,0,79.0,44.0,3261.0,1
23,2,0.00797397076796258,82.0,0,62.0,38.0,2600.0,1
24,2,0.007539541578579923,143.0,0,60.0,38.0,3664.0,1
25,2,0.009410202360884549,62.0,0,58.0,40.0,3769.0,1
26,0,0.0018730675794441567,117.0,0,51.0,34.0,4042.0,1
27,0,0.002785309599113369,123.0,0,63.0,45.0,3827.0,1
28,0,0.004172750197062851,122.0,0,71.0,43.0,4449.0,1
29,0,0.001346992073834644,90.0,0,69.0,35.0,2894.0,1
30,2,0.002905972059132642,128.0,0,95.0,47.0,2666.0,1
31,2,0.004985133095691373,73.0,0,85.0,49.0,2802.0,1
32,2,0.0033944741987256286,126.0,0,85.0,36.0,3587.0,1
33,2,0.009178963361012798,129.0,0,93.0,47.0,4625.0,1
34,2,0.005160945668049771,122.0,0,74.0,38.0,4376.0,1
35,2,0.006153345403883643,105.0,0,99.0,42.0,2974.0,1
36,0,0.00133328222881862,60.0,0,93.0,42.0,3395.0,1
37,0,0.004381165055291108,78.0,0,66.0,37.0,4932.0,1
