,estimator,learning_rate,loss,max_depth,max_features,min_samples_leaf,n_estimators
0,0,0.11485745814357846,0,3.0,187.0,9.0,409.0
1,0,0.15781960239905535,1,5.0,208.0,22.0,851.0
2,0,0.09002439279672073,0,5.0,205.0,22.0,950.0
3,0,0.15501419289665092,0,9.0,167.0,59.0,701.0
4,0,0.15622335165828508,1,4.0,201.0,54.0,314.0
5,0,0.1921279331689185,0,3.0,164.0,67.0,689.0
6,0,0.12226634603030032,0,8.0,155.0,61.0,992.0
7,0,0.1900840308388737,0,8.0,165.0,20.0,298.0
8,0,0.16906837311038275,0,5.0,205.0,46.0,665.0
9,0,0.1272214205704128,1,6.0,184.0,8.0,961.0
10,0,0.12811662637829743,1,4.0,168.0,8.0,262.0
11,0,0.199656604640233,0,3.0,198.0,45.0,730.0
12,0,0.12268309409425568,0,4.0,201.0,65.0,931.0
13,0,0.19838311744672082,0,2.0,180.0,72.0,987.0
14,0,0.1764893070791014,0,10.0,204.0,6.0,402.0
15,0,0.19601208479387178,0,4.0,218.0,73.0,901.0
16,0,0.15430166569804127,0,4.0,219.0,69.0,892.0
17,0,0.06627635873397959,0,3.0,175.0,6.0,982.0
18,0,0.1935575756361238,0,2.0,160.0,58.0,837.0
19,0,0.16376208363143915,0,6.0,182.0,22.0,693.0
20,0,0.1738063994206345,1,5.0,208.0,9.0,954.0
21,0,0.05120315741231547,0,10.0,203.0,26.0,443.0
22,0,0.09536380386982433,0,6.0,203.0,24.0,649.0
23,0,0.16297953909750268,0,8.0,217.0,7.0,668.0
24,0,0.07887687936086754,1,6.0,213.0,8.0,857.0
25,0,0.16761175226987757,0,5.0,198.0,59.0,775.0
26,0,0.18806646736014104,0,9.0,201.0,35.0,695.0
27,0,0.16490867998845302,0,5.0,150.0,43.0,833.0
28,0,0.07856647689038085,0,2.0,204.0,6.0,473.0
29,0,0.13023788919669868,1,7.0,187.0,5.0,554.0
30,0,0.18669049778819805,0,5.0,205.0,36.0,958.0
31,0,0.10184569701738946,0,10.0,196.0,13.0,988.0
32,0,0.1511406345590911,0,5.0,178.0,9.0,364.0
33,0,0.1105097612949613,0,3.0,181.0,33.0,780.0
34,0,0.1818026290808099,0,10.0,217.0,48.0,888.0
35,0,0.11927282742923785,0,10.0,215.0,5.0,245.0
36,0,0.19957633085085585,0,10.0,202.0,15.0,989.0
37,0,0.10169599876140761,0,5.0,158.0,42.0,990.0
