,activation,alpha,batch_size,estimator,hidden_layer_sizes1,hidden_layer_sizes2,max_iter,solver
0,0,0.006639704319172589,66.0,0,71.0,49.0,3256.0,1
1,0,0.004318476747552945,93.0,0,74.0,46.0,3756.0,1
2,2,0.0026445028430751682,55.0,0,60.0,39.0,2987.0,1
3,0,0.006560173109149045,74.0,0,70.0,47.0,4048.0,1
4,0,0.005304952004205449,141.0,0,87.0,47.0,4790.0,1
5,0,0.007382753509413729,99.0,0,91.0,34.0,4222.0,1
6,2,0.006201311276791733,129.0,0,81.0,42.0,4314.0,0
7,2,0.0016307488887756928,132.0,0,57.0,40.0,3895.0,1
8,0,0.006698392167298284,54.0,0,72.0,49.0,2713.0,1
9,0,0.0036769284767260166,57.0,0,90.0,50.0,3234.0,1
10,0,0.008235151166478293,128.0,0,78.0,49.0,4984.0,1
11,0,0.002496294085159763,74.0,0,61.0,48.0,4653.0,0
12,2,0.0031954049786563194,83.0,0,91.0,38.0,4420.0,0
13,2,0.00674770005053485,119.0,0,64.0,47.0,4817.0,1
14,0,0.006319621899556293,113.0,0,77.0,45.0,3299.0,0
15,0,0.006472417079442002,78.0,0,91.0,48.0,3469.0,1
16,0,0.004494923550427333,81.0,0,71.0,31.0,3786.0,1
17,0,0.008221650831195733,129.0,0,54.0,37.0,2889.0,1
18,0,0.005326621062094702,94.0,0,80.0,37.0,3969.0,1
19,0,0.001580546915449804,83.0,0,65.0,38.0,3420.0,1
20,2,0.00655885602814892,50.0,0,86.0,49.0,2670.0,1
21,0,0.00908671985630118,116.0,0,95.0,42.0,3511.0,1
22,2,0.001370148644819655,93.0,0,55.0,30.0,3359.0,1
23,0,0.0033977464728657193,55.0,0,74.0,32.0,4225.0,1
24,0,0.002453888893650218,71.0,0,90.0,35.0,3738.0,1
25,0,0.003745554270197869,82.0,0,56.0,36.0,4416.0,1
26,0,0.009909253186201502,50.0,0,69.0,35.0,3558.0,1
27,0,0.009925781533958872,54.0,0,65.0,42.0,4142.0,1
28,0,0.004322660278376125,86.0,0,70.0,36.0,3126.0,1
29,0,0.008148687157025894,118.0,0,66.0,40.0,4312.0,1
30,2,0.0044428431441925565,78.0,0,57.0,49.0,3309.0,1
31,0,0.0057893748989573945,92.0,0,93.0,37.0,3333.0,1
32,0,0.001555834504344585,59.0,0,69.0,41.0,4440.0,1
33,0,0.00494870610335243,132.0,0,58.0,44.0,4243.0,1
34,2,0.002279680245516781,130.0,0,84.0,36.0,3952.0,1
35,0,0.001934690607577488,84.0,0,50.0,35.0,2855.0,1
36,0,0.0032287137092178422,100.0,0,82.0,46.0,4884.0,1
37,0,0.007077398045006465,108.0,0,95.0,49.0,3140.0,1
38,2,0.0031275989681234405,84.0,0,95.0,39.0,4055.0,1
39,0,0.005086865922771062,114.0,0,73.0,42.0,3559.0,1
40,0,0.009945918427927202,73.0,0,81.0,45.0,3526.0,1
41,2,0.0019863617997405306,109.0,0,98.0,44.0,2650.0,1
42,2,0.0025002589960002723,81.0,0,96.0,41.0,2741.0,1
43,0,0.007081016956242127,108.0,0,83.0,38.0,3654.0,1
44,0,0.004897329611623808,69.0,0,70.0,40.0,3726.0,1
45,0,0.007647664801220817,90.0,0,69.0,43.0,4188.0,1
46,2,0.0011328245776738282,61.0,0,100.0,49.0,3339.0,1
47,0,0.009338461893191267,80.0,0,94.0,40.0,4550.0,1
48,0,0.005422272779552725,81.0,0,93.0,46.0,3442.0,1
49,2,0.008090882646814812,55.0,0,84.0,49.0,3333.0,0
50,0,0.0020425361936095305,91.0,0,99.0,49.0,4341.0,1
51,0,0.004595238275130575,112.0,0,74.0,47.0,4323.0,1
52,0,0.009126984866166593,107.0,0,77.0,33.0,2685.0,1
53,2,0.007908798618468327,119.0,0,60.0,36.0,4242.0,1
54,0,0.00946193648295221,90.0,0,63.0,31.0,2638.0,1
55,2,0.0018522435346202772,126.0,0,96.0,47.0,3190.0,1
56,0,0.006042697824727052,116.0,0,68.0,43.0,3903.0,1
57,2,0.004335005714174898,129.0,0,89.0,31.0,3693.0,1
58,2,0.009795969872901898,135.0,0,94.0,38.0,3186.0,1
59,0,0.0022590724953390116,68.0,0,100.0,36.0,3985.0,1
60,2,0.002667030910537675,61.0,0,92.0,43.0,3094.0,1
61,0,0.0053738815823914056,135.0,0,58.0,31.0,2939.0,1
62,0,0.004583170767369159,102.0,0,65.0,34.0,4894.0,1
63,0,0.003074998144801112,136.0,0,59.0,37.0,2753.0,1
64,2,0.009343700170557715,92.0,0,74.0,31.0,4170.0,1
65,2,0.005903006166817617,106.0,0,78.0,44.0,3381.0,1
66,2,0.0026825625828545163,92.0,0,79.0,35.0,4360.0,1
67,2,0.0034735340217550877,105.0,0,75.0,31.0,4025.0,0
68,2,0.008566671547322827,53.0,0,60.0,42.0,2552.0,1
69,2,0.007811875150619581,67.0,0,87.0,48.0,3409.0,1
70,0,0.0037482867253252755,87.0,0,52.0,37.0,2930.0,1
71,0,0.006168189862419909,105.0,0,64.0,43.0,4270.0,1
72,0,0.00834046490413124,50.0,0,67.0,44.0,3915.0,1
73,0,0.009665616581678593,85.0,0,80.0,48.0,2996.0,1
74,2,0.006341472336796843,89.0,0,78.0,31.0,4221.0,1
75,0,0.005158269131479456,63.0,0,67.0,50.0,2770.0,1
76,0,0.0027023126452585837,99.0,0,71.0,31.0,2829.0,1
77,2,0.0039033116317045325,52.0,0,97.0,43.0,3208.0,1
78,0,0.009333438117926389,83.0,0,66.0,34.0,4959.0,1
79,2,0.008021047420476232,54.0,0,53.0,32.0,2532.0,1
80,0,0.0023982212734942492,120.0,0,70.0,48.0,4885.0,1
81,0,0.006278350290991539,84.0,0,84.0,31.0,2678.0,1
82,0,0.008858985708062143,140.0,0,86.0,47.0,2955.0,1
83,0,0.005754238496749317,51.0,0,78.0,30.0,3078.0,1
84,0,0.008908508347593744,121.0,0,95.0,36.0,3039.0,1
85,0,0.006969717589832957,119.0,0,81.0,43.0,4946.0,1
86,2,0.007497778791044414,65.0,0,79.0,31.0,4447.0,1
87,2,0.004385058610155479,106.0,0,70.0,30.0,3530.0,1
88,2,0.0010589315295840467,56.0,0,58.0,48.0,4574.0,1
89,0,0.004781620699956912,123.0,0,66.0,37.0,4684.0,1
90,0,0.0049100566891549634,127.0,0,69.0,44.0,3969.0,1
91,0,0.002779102048479252,68.0,0,61.0,37.0,3232.0,1
92,0,0.0014393043177079552,107.0,0,74.0,43.0,4546.0,1
93,0,0.004306544015876302,112.0,0,91.0,46.0,3911.0,1
94,0,0.0064527466284347666,119.0,0,83.0,33.0,3347.0,1
95,0,0.009351074761537884,88.0,0,91.0,50.0,4029.0,1
96,2,0.0032120335660829466,67.0,0,99.0,31.0,2594.0,1
97,0,0.009440354002965072,67.0,0,71.0,42.0,3636.0,1
