,estimator,learning_rate,loss,max_depth,max_features,min_samples_leaf,n_estimators
0,0,0.13491994091933757,0,3.0,222.0,19.0,759.0
1,0,0.1162076644457809,0,3.0,174.0,14.0,417.0
2,0,0.10788732403128769,1,6.0,186.0,9.0,940.0
3,0,0.15728939949420162,0,5.0,168.0,64.0,830.0
4,0,0.16245226488148737,1,4.0,218.0,14.0,183.0
5,0,0.11983269368507309,0,5.0,157.0,16.0,407.0
6,0,0.18130307677887053,0,4.0,200.0,18.0,736.0
7,0,0.16427244263435858,0,5.0,209.0,16.0,635.0
8,0,0.17963437708709576,0,3.0,195.0,44.0,996.0
9,0,0.1577439131614058,0,7.0,182.0,44.0,968.0
10,0,0.06698824693060065,0,5.0,171.0,46.0,853.0
11,0,0.16877126906462256,1,8.0,180.0,7.0,374.0
12,0,0.11622895594884217,0,3.0,160.0,65.0,917.0
13,0,0.16606063564886597,0,10.0,169.0,63.0,998.0
14,0,0.09821389447536899,0,10.0,224.0,6.0,344.0
15,0,0.19972299160270662,0,5.0,185.0,74.0,957.0
16,0,0.18256687720925036,0,9.0,183.0,70.0,832.0
17,0,0.16727077005321397,0,8.0,187.0,10.0,182.0
18,0,0.14384451038662557,0,2.0,181.0,65.0,821.0
19,0,0.17839957492983083,0,10.0,155.0,7.0,297.0
20,0,0.1694819012572638,0,4.0,187.0,53.0,998.0
21,0,0.14395067018700183,0,3.0,155.0,21.0,861.0
22,0,0.12214408885933117,0,5.0,159.0,13.0,151.0
23,0,0.10765225241536275,0,8.0,164.0,43.0,600.0
24,0,0.1518614166844772,0,5.0,175.0,45.0,697.0
25,0,0.1396556191713463,0,6.0,184.0,55.0,833.0
26,0,0.13043154452367556,0,7.0,190.0,44.0,754.0
27,0,0.18180379278140038,0,10.0,207.0,27.0,461.0
28,0,0.1579399408373657,0,5.0,210.0,9.0,197.0
29,0,0.19925189041233882,0,6.0,212.0,51.0,974.0
30,0,0.1643241912860507,0,2.0,219.0,39.0,768.0
31,0,0.16408810620970948,0,3.0,188.0,21.0,434.0
32,0,0.1841557160083886,0,7.0,192.0,53.0,932.0
33,0,0.153909428698848,0,5.0,189.0,12.0,85.0
34,0,0.1526146985987672,0,5.0,155.0,48.0,325.0
35,0,0.09088321092664832,0,5.0,199.0,6.0,902.0
36,0,0.18150405187646226,0,8.0,196.0,6.0,994.0
37,0,0.18084354405012393,0,9.0,170.0,10.0,589.0
