,activation,alpha,batch_size,estimator,hidden_layer_sizes1,hidden_layer_sizes2,max_iter,solver
0,2,0.006984095837925702,91.0,0,67.0,33.0,3715.0,1
1,0,0.005443756628771225,97.0,0,68.0,45.0,3168.0,1
2,2,0.004802108632797436,103.0,0,74.0,37.0,3243.0,1
3,2,0.0020321710608903055,134.0,0,82.0,37.0,2954.0,1
4,0,0.00256628066828932,118.0,0,81.0,32.0,3510.0,0
5,2,0.005206027255255199,99.0,0,75.0,34.0,4600.0,1
6,2,0.003231798579482655,102.0,0,70.0,43.0,4433.0,0
7,0,0.007904298424058053,119.0,0,85.0,50.0,2910.0,0
8,0,0.006887891649374598,98.0,0,78.0,44.0,4447.0,1
9,0,0.008044641333770756,131.0,0,85.0,43.0,3523.0,1
10,0,0.005380049101463549,55.0,0,79.0,37.0,3903.0,0
11,0,0.002425468842372484,127.0,0,92.0,33.0,4690.0,1
12,0,0.005559839992418934,150.0,0,89.0,43.0,4628.0,1
13,0,0.0014768792041837536,132.0,0,96.0,40.0,3423.0,1
14,2,0.005925879093211719,99.0,0,71.0,37.0,3291.0,1
15,0,0.006390774194048105,114.0,0,75.0,41.0,4258.0,1
16,0,0.008353395044686253,97.0,0,62.0,45.0,3296.0,1
17,0,0.00292805198531838,100.0,0,82.0,39.0,3613.0,1
18,0,0.0017278028444525674,98.0,0,85.0,43.0,4100.0,1
19,2,0.0045237727095833275,115.0,0,77.0,40.0,2741.0,1
20,0,0.0070851183717207875,89.0,0,59.0,46.0,4689.0,1
21,2,0.007405410235333922,134.0,0,99.0,43.0,3099.0,1
22,0,0.006570842516296731,89.0,0,63.0,40.0,2991.0,1
23,0,0.005344103531910024,60.0,0,98.0,43.0,4229.0,1
24,0,0.0056896150763242,109.0,0,63.0,39.0,3520.0,1
25,0,0.007002038738900211,120.0,0,81.0,31.0,3749.0,1
26,0,0.009025330345530196,58.0,0,88.0,40.0,4107.0,1
27,0,0.006037657249475558,80.0,0,54.0,47.0,3015.0,1
28,0,0.005844517657954568,97.0,0,70.0,38.0,2917.0,1
29,0,0.009546983620611505,96.0,0,65.0,40.0,4324.0,1
30,0,0.003774901396756925,61.0,0,87.0,31.0,3721.0,1
31,0,0.006537794190894417,80.0,0,71.0,33.0,4572.0,1
32,0,0.008263692263409771,60.0,0,85.0,45.0,4463.0,1
33,0,0.0026640440190666007,110.0,0,53.0,41.0,4766.0,1
34,2,0.006371871994790047,63.0,0,91.0,40.0,4725.0,1
35,2,0.008012080546543395,124.0,0,83.0,47.0,3159.0,1
36,0,0.005467255191177153,51.0,0,65.0,48.0,3856.0,1
37,0,0.002501903741607795,117.0,0,67.0,44.0,3021.0,1
38,2,0.005110145361104706,127.0,0,59.0,30.0,4796.0,1
39,0,0.0045362815784797325,97.0,0,69.0,43.0,3330.0,1
