Date,Portfolio
2009-06-01,-0.418867607
2009-06-10,-2.013167572
2009-06-19,-0.567789746
2009-06-30,-4.479631835
2009-07-10,11.97190168
2009-07-21,3.258882973
2009-07-30,1.863534743
2009-08-10,-1.066248273
2009-08-19,4.254749361
2009-08-28,0.278133616
2009-09-09,4.357991968
2009-09-18,-1.229591078
2009-09-29,1.116884876
2009-10-09,2.695633626
2009-10-20,-2.475464745
2009-10-29,2.727389678
2009-11-09,1.027599124
2009-11-18,-1.222583766
2009-11-30,0.945883514
2009-12-09,0.712152243
2009-12-18,1.498046411
2009-12-30,2.422862669
2010-01-12,-5.627503506
2010-01-22,0.783907555
2010-02-02,-2.117124537
2010-02-11,1.527831781
2010-02-23,6.168411215
2010-03-05,1.879385797
2010-03-16,0.122643383
2010-03-25,6.803765281
2010-04-06,1.916987867
2010-04-15,-2.621724138
2010-04-26,-7.039671377
2010-05-06,3.176390323
2010-05-17,-2.813645988
2010-05-27,-4.359654428
2010-06-09,7.932560819
2010-06-18,-7.170805435
2010-06-29,6.827288063
2010-07-09,0.46780168
2010-07-20,1.613499908
2010-07-29,2.529902913
2010-08-09,-2.888575712
2010-08-18,-2.708845316
2010-08-27,3.176239113
2010-09-08,2.611504729
2010-09-17,5.46204556
2010-10-01,1.136689412
2010-10-12,0.741573747
2010-10-21,0.297495781
2010-11-01,2.782112676
2010-11-10,-1.550204082
2010-11-19,0.581632822
2010-12-01,3.209569892
2010-12-10,-0.052647926
2010-12-21,3.300860215
2011-01-03,1.191179423
2011-01-12,1.525112846
2011-01-24,1.784017037
2011-02-07,0.782738603
2011-02-16,0.011300813
2011-02-28,-0.642293077
2011-03-10,0.21298988
2011-03-21,4.529450621
2011-03-30,3.56984456
2011-04-08,-1.225296324
2011-04-19,5.450452278
2011-04-29,-1.076950489
2011-05-12,-2.290590319
2011-05-23,4.242729442
2011-06-02,-1.863547215
2011-06-14,-0.810712909
2011-06-23,4.769549003
2011-07-05,-2.191898734
2011-07-14,3.069013453
2011-07-25,-4.533270242
2011-08-03,-6.411891038
2011-08-12,-0.099031877
2011-08-24,-0.284705088
2011-09-02,-2.618344562
2011-09-16,-3.82620971
2011-09-27,-1.600512255
2011-10-07,7.626190999
2011-10-18,7.519545015
2011-10-27,-1.90734852
2011-11-07,-4.395259516
2011-11-16,-3.606838046
2011-11-28,5.675490352
2011-12-07,-3.438898505
2011-12-16,2.053174784
2011-12-28,5.137481323
2012-01-10,1.750261594
2012-01-20,4.161594973
2012-02-02,1.456286037
2012-02-13,0.93187454
2012-02-23,-1.483780079
2012-03-06,3.951498644
2012-03-15,0.564863051
2012-03-26,-3.927245854
2012-04-04,-0.328191014
2012-04-17,-0.56422814
2012-04-26,-3.453609467
2012-05-08,-4.157088839
2012-05-17,0.445889393
2012-05-29,-0.509623556
2012-06-08,4.526490904
2012-06-19,-2.153451237
2012-06-28,1.808225247
2012-07-10,2.644285714
2012-07-19,0.646962181
2012-07-30,1.303004884
2012-08-08,0.058166956
2012-08-20,-0.551097108
2012-08-29,1.701956857
2012-09-10,3.752861469
2012-09-19,-2.068631522
2012-09-28,0.363962264
2012-10-11,2.353445426
2012-10-22,-1.373148174
2012-11-02,-2.111153846
2012-11-13,3.815714286
