Date,EAFE
2007-01-03,73.51
2007-01-04,73.32
2007-01-05,72.2
2007-01-08,72.3
2007-01-09,72.37
2007-01-10,71.82
2007-01-11,72.28
2007-01-12,73.1
2007-01-16,73.01
2007-01-17,73.05
2007-01-18,72.8
2007-01-19,73.69
2007-01-22,73.32
2007-01-23,73.97
2007-01-24,74.45
2007-01-25,73.24
2007-01-26,73.38
2007-01-29,73.46
2007-01-30,73.96
2007-01-31,74.24
2007-02-01,74.86
2007-02-02,74.71
2007-02-05,74.47
2007-02-06,75.05
2007-02-07,75.26
2007-02-08,74.96
2007-02-09,74.64
2007-02-12,74.35
2007-02-13,75.3
2007-02-14,76.32
2007-02-15,76.41
2007-02-16,76.38
2007-02-20,76.49
2007-02-21,76.1
2007-02-22,76.44
2007-02-23,76.68
2007-02-26,76.72
2007-02-27,73.63
2007-02-28,74.18
2007-03-01,73.39
2007-03-02,72.4
2007-03-05,70.9
2007-03-06,73.1
2007-03-07,73.12
2007-03-08,73.98
2007-03-09,74.1
2007-03-12,74.57
2007-03-13,72.8
2007-03-14,72.83
2007-03-15,73.16
2007-03-16,73.25
2007-03-19,74.38
2007-03-20,75.01
2007-03-21,76.61
2007-03-22,76.32
2007-03-23,76.5
2007-03-26,76.53
2007-03-27,76.19
2007-03-28,75.52
2007-03-29,76.18
2007-03-30,76.26
2007-04-02,76.5
2007-04-03,77.14
2007-04-04,77.46
2007-04-05,77.74
2007-04-09,77.68
2007-04-10,78.26
2007-04-11,77.88
2007-04-12,78.4
2007-04-13,78.66
2007-04-16,79.49
2007-04-17,79.5
2007-04-18,79.47
2007-04-19,79.17
2007-04-20,80.08
2007-04-23,79.3
2007-04-24,79.25
2007-04-25,79.99
2007-04-26,79.62
2007-04-27,79.45
2007-04-30,79.16
2007-05-01,79.08
2007-05-02,79.68
2007-05-03,79.79
2007-05-04,80.54
2007-05-07,80.66
2007-05-08,80
2007-05-09,80.44
2007-05-10,78.85
2007-05-11,80.18
2007-05-14,79.88
2007-05-15,80.02
2007-05-16,80.14
2007-05-17,79.73
2007-05-18,80.35
2007-05-21,79.97
2007-05-22,80.04
2007-05-23,80.45
2007-05-24,79.68
2007-05-25,80.19
2007-05-29,80.29
2007-05-30,80.63
2007-05-31,81.03
2007-06-01,81.56
2007-06-04,81.78
2007-06-05,81.36
2007-06-06,80.19
2007-06-07,78.82
2007-06-08,79.68
2007-06-11,79.95
2007-06-12,78.53
2007-06-13,79.55
2007-06-14,80.14
2007-06-15,80.79
2007-06-18,81.24
2007-06-19,81.32
2007-06-20,80.36
2007-06-21,81.09
2007-06-22,79.97
2007-06-25,79.95
2007-06-26,79.55
2007-06-27,80.12
2007-06-28,80.26
2007-06-29,80.77
2007-07-02,81.94
2007-07-03,82.33
2007-07-05,81.92
2007-07-06,82.51
2007-07-09,82.71
2007-07-10,81.7
2007-07-11,82.47
2007-07-12,83.62
2007-07-13,83.56
2007-07-16,83.37
2007-07-17,83.09
2007-07-18,82.8
2007-07-19,83.27
2007-07-20,82.41
2007-07-23,82.91
2007-07-24,81.66
2007-07-25,81.44
2007-07-26,78.73
2007-07-27,77.64
2007-07-30,79.02
2007-07-31,78.92
2007-08-01,79.05
2007-08-02,79.29
2007-08-03,77.86
2007-08-06,78.71
2007-08-07,78.98
2007-08-08,80.26
2007-08-09,77.97
2007-08-10,76.63
2007-08-13,76.78
2007-08-14,76.04
2007-08-15,74.26
2007-08-16,73.94
2007-08-17,74.62
2007-08-20,74.86
2007-08-21,74.81
2007-08-22,76.58
2007-08-23,76.92
2007-08-24,78.26
2007-08-27,77.43
2007-08-28,75.87
2007-08-29,77.61
2007-08-30,77.07
2007-08-31,78.42
2007-09-04,79.14
2007-09-05,77.99
2007-09-06,78.28
2007-09-07,77.33
2007-09-10,77.01
2007-09-11,78.34
2007-09-12,78.42
2007-09-13,78.75
2007-09-14,78.29
2007-09-17,77.19
2007-09-18,79.7
2007-09-19,80.42
2007-09-20,80.35
2007-09-21,80.7
2007-09-24,80.88
2007-09-25,80.98
2007-09-26,81.38
2007-09-27,82.46
2007-09-28,82.59
2007-10-01,83.65
2007-10-02,83.44
2007-10-03,83.06
2007-10-04,83.35
2007-10-05,84.2
2007-10-08,83.42
2007-10-09,84.35
2007-10-10,84.19
2007-10-11,84.58
2007-10-12,84.95
2007-10-15,84.26
2007-10-16,82.96
2007-10-17,83.84
2007-10-18,84.04
2007-10-19,82.19
2007-10-22,82.09
2007-10-23,83.25
2007-10-24,83.07
2007-10-25,83.45
2007-10-26,84.96
2007-10-29,85.58
2007-10-30,84.9
2007-10-31,86.1
2007-11-01,84.29
2007-11-02,84.76
2007-11-05,83.41
2007-11-06,84.67
2007-11-07,83.2
2007-11-08,83.35
2007-11-09,81.73
2007-11-12,80.39
2007-11-13,82.55
2007-11-14,82.42
2007-11-15,81.06
2007-11-16,81.32
2007-11-19,79.17
2007-11-20,80.94
2007-11-21,79.11
2007-11-23,81.1
2007-11-26,79.83
2007-11-27,80.91
2007-11-28,83.21
2007-11-29,82.53
2007-11-30,82.98
2007-12-03,82.67
2007-12-04,82.15
2007-12-05,83.1
2007-12-06,83.89
2007-12-07,83.56
2007-12-10,84.42
2007-12-11,82.22
2007-12-12,83.87
2007-12-13,82.16
2007-12-14,79.94
2007-12-17,78.24
2007-12-18,79.22
2007-12-19,78.57
2007-12-20,79.13
2007-12-21,80.26
2007-12-24,78.58
2007-12-26,78.8
2007-12-27,78.32
2007-12-28,78.99
2007-12-31,78.5
2008-01-02,78.22
2008-01-03,78.35
2008-01-04,76.57
2008-01-07,76.65
2008-01-08,76.22
2008-01-09,76.77
2008-01-10,76.69
2008-01-11,75.16
2008-01-14,76.36
2008-01-15,73.88
2008-01-16,72.39
2008-01-17,71.3
2008-01-18,71.71
2008-01-22,69.71
2008-01-23,69.3
2008-01-24,71.73
2008-01-25,70.69
2008-01-28,71.48
2008-01-29,71.91
2008-01-30,71.58
2008-01-31,72.34
2008-02-01,73.55
2008-02-04,72.8
2008-02-05,69.46
2008-02-06,69.4
2008-02-07,69.05
2008-02-08,68.34
2008-02-11,68.7
2008-02-12,70.18
2008-02-13,70.66
2008-02-14,70.34
2008-02-15,70.6
2008-02-19,71.29
2008-02-20,70.92
2008-02-21,70.79
2008-02-22,71.69
2008-02-25,72.83
2008-02-26,73.91
2008-02-27,74.15
2008-02-28,73.44
2008-02-29,71.6
2008-03-03,71.81
2008-03-04,70.72
2008-03-05,71.57
2008-03-06,70.55
2008-03-07,69.72
2008-03-10,69.37
2008-03-11,71.56
2008-03-12,71.56
2008-03-13,71.68
2008-03-14,69.95
2008-03-17,68.89
2008-03-18,71
2008-03-19,68.43
2008-03-20,69.46
2008-03-24,70.73
2008-03-25,71.76
2008-03-26,71.76
2008-03-27,71.7
2008-03-28,71.64
2008-03-31,71.9
2008-04-01,74.17
2008-04-02,74.33
2008-04-03,74.55
2008-04-04,74.8
2008-04-07,75.26
2008-04-08,74.47
2008-04-09,73.86
2008-04-10,73.63
2008-04-11,72.64
2008-04-14,72.8
2008-04-15,73.31
2008-04-16,75.615
2008-04-17,74.78
2008-04-18,75.31
2008-04-21,75.9
2008-04-22,75.108
2008-04-23,75.5
2008-04-24,75.01
2008-04-25,75.63
2008-04-28,76.074
2008-04-29,75.4
2008-04-30,75.81
2008-05-01,76.27
2008-05-02,76.48
2008-05-05,76.61
2008-05-06,77.18
2008-05-07,75.83
2008-05-08,76.49
2008-05-09,75.88
2008-05-12,76.64
2008-05-13,76.38
2008-05-14,76.38
2008-05-15,77.68
2008-05-16,78.52
2008-05-19,78.2
2008-05-20,77.48
2008-05-21,76.6
2008-05-22,77.49
2008-05-23,76.61
2008-05-27,76.46
2008-05-28,76.45
2008-05-29,76.28
2008-05-30,76.71
2008-06-02,75.91
2008-06-03,75.75
2008-06-04,75.31
2008-06-05,76.56
2008-06-06,74.36
2008-06-09,74.256
2008-06-10,73
2008-06-11,72.07
2008-06-12,71.82
2008-06-13,72.48
2008-06-16,72.85
2008-06-17,73.07
2008-06-18,72.47
2008-06-19,72.33
2008-06-20,70.75
2008-06-23,70.74
2008-06-24,70.42
2008-06-25,69.846
2008-06-26,68.08
2008-06-27,68.26
2008-06-30,68.67
2008-07-01,67.93
2008-07-02,66.85
2008-07-03,67.28
2008-07-07,66.7
2008-07-08,67.05
2008-07-09,66.18
2008-07-10,66.75
2008-07-11,65.7
2008-07-14,65.56
2008-07-15,64.51
2008-07-16,65.7
2008-07-17,66.7
2008-07-18,67.13
2008-07-21,67.52
2008-07-22,67.75
2008-07-23,68
2008-07-24,66.76
2008-07-25,66.9
2008-07-28,65.78
2008-07-29,66.43
2008-07-30,67.05
2008-07-31,66.39
2008-08-01,65.4
2008-08-04,64.78
2008-08-05,66.42
2008-08-06,66.44
2008-08-07,65.11
2008-08-08,65.38
2008-08-11,65.32
2008-08-12,64.85
2008-08-13,63.83
2008-08-14,63.58
2008-08-15,63.16
2008-08-18,62.84
2008-08-19,62.13
2008-08-20,62.5
2008-08-21,62.75
2008-08-22,63.04
2008-08-25,62.05
2008-08-26,62.36
2008-08-27,62.95
2008-08-28,63.76
2008-08-29,63.57
2008-09-02,62.59
2008-09-03,62.33
2008-09-04,59.66
2008-09-05,59.44
2008-09-08,60.77
2008-09-09,58.8
2008-09-10,59.37
2008-09-11,59.24
2008-09-12,60.4
2008-09-15,57.83
2008-09-16,57.4
2008-09-17,55.21
2008-09-18,57.72
2008-09-19,61.81
2008-09-22,59.7
2008-09-23,58.86
2008-09-24,59.03
2008-09-25,60.39
2008-09-26,59.75
2008-09-29,53.08
2008-09-30,56.3
2008-10-01,55.88
2008-10-02,53.44
2008-10-03,53.23
2008-10-06,50.22
2008-10-07,47.87
2008-10-08,46.8
2008-10-09,44.002
2008-10-10,42.36
2008-10-13,49.09
2008-10-14,48.08
2008-10-15,42.95
2008-10-16,45.48
2008-10-17,44.51
2008-10-20,47.35
2008-10-21,44.68
2008-10-22,41.42
2008-10-23,42.33
2008-10-24,39.59
2008-10-27,37.51
2008-10-28,42.68
2008-10-29,42.78
2008-10-30,44.28
2008-10-31,44.57
2008-11-03,44.75
2008-11-04,47.82
2008-11-05,45.22
2008-11-06,42.3
2008-11-07,44.69
2008-11-10,44.02
2008-11-11,42.57
2008-11-12,40.28
2008-11-13,43.71
2008-11-14,41.2
2008-11-17,40.45
2008-11-18,40.52
2008-11-19,37.81
2008-11-20,35.73
2008-11-21,38.27
2008-11-24,40.56
2008-11-25,41.3
2008-11-26,41.75
2008-11-28,41.73
2008-12-01,38.32
2008-12-02,40.4
2008-12-03,40.94
2008-12-04,39.68
2008-12-05,40.18
2008-12-08,42.09
2008-12-09,41.7
2008-12-10,42.798
