Date,em,Open,High,Low,Vol.,Change %,Return
2007-01-03,38.38,38.6666,38.8033,38.08,38.55M,0.0085,0.85
2007-01-04,37.85,38.0833,38.0933,37.57,26.83M,-0.0138,-1.38
2007-01-05,36.7433,37.4666,37.55,36.74,33.14M,-0.0292,-2.92
2007-01-08,37.01,36.96,37.15,36.7533,23.33M,0.0073,0.73
2007-01-09,36.1833,36.7333,36.7833,35.9833,43.96M,-0.0223,-2.23
2007-01-10,36.1,35.8033,36.2533,35.5133,58.53M,-0.0023,-0.23
2007-01-11,36.5566,36.3133,37.05,36.19,48.18M,0.0126,1.26
2007-01-12,37.3,36.8233,37.3,36.6333,27.29M,0.0203,2.03
2007-01-16,37.4333,37.45,37.4833,37.1966,25.98M,0.0036,0.36
2007-01-17,37.2766,37.3333,37.4933,37.13,20.52M,-0.0042,-0.42
2007-01-18,36.8833,37.6,37.6333,36.8833,31.40M,-0.0106,-1.06
2007-01-19,37.5466,37.0166,37.5478,37.0166,18.09M,0.018,1.8
2007-01-22,37.5033,37.6,37.8433,37.3833,20.96M,-0.0012,-0.12
2007-01-23,38.3566,37.5,38.3566,37.4533,28.31M,0.0228,2.28
2007-01-24,38.69,38.33,38.8333,38.24,20.19M,0.0087,0.87
2007-01-25,37.5,38.4433,38.5,37.5,28.92M,-0.0308,-3.08
2007-01-26,37.73,37.6666,37.8266,37.25,29.70M,0.0061,0.61
2007-01-29,37.23,37.54,37.5666,37.1466,29.90M,-0.0133,-1.33
2007-01-30,37.8066,37.3533,37.8066,37.3533,20.50M,0.0155,1.55
2007-01-31,38.1,37.4633,38.1,37.2533,31.86M,0.0078,0.78
2007-02-01,38.5666,38.2666,38.6,38.2666,34.17M,0.0122,1.22
2007-02-02,38.45,38.5833,38.66,38.3333,20.93M,-0.003,-0.3
2007-02-05,38.4866,38.3366,38.5266,38.1666,16.25M,0.001,0.1
2007-02-06,38.8666,38.77,38.9466,38.6,17.35M,0.0099,0.99
2007-02-07,38.7166,38.96,38.9866,38.6033,16.29M,-0.0039,-0.39
2007-02-08,38.51,38.5066,38.7166,38.3266,19.79M,-0.0053,-0.53
2007-02-09,38.05,38.6666,38.7525,38,31.97M,-0.0119,-1.19
2007-02-12,37.79,38.1166,38.1166,37.6033,27.90M,-0.0068,-0.68
2007-02-13,38.39,37.9833,38.4666,37.9566,30.30M,0.0159,1.59
2007-02-14,39.2166,38.4333,39.2933,37.95,37.48M,0.0215,2.15
2007-02-15,39.24,39.25,39.35,39.1233,14.39M,0.0006,0.06
2007-02-16,39.33,39.0866,39.33,38.9633,14.83M,0.0023,0.23
2007-02-20,39.4333,39.0333,39.5,39.01,15.37M,0.0026,0.26
2007-02-21,39.55,39.1933,39.6266,39.0433,14.29M,0.003,0.3
2007-02-22,39.5,39.7266,39.86,39.3633,24.23M,-0.0013,-0.13
2007-02-23,39.1666,39.4133,39.55,38.9,27.18M,-0.0084,-0.84
2007-02-26,39.15,39.3466,39.41,38.8566,14.97M,-0.0004,-0.04
2007-02-27,35.9666,37.6666,39.0333,34.9466,89.87M,-0.0813,-8.13
2007-02-28,36.5833,36.5,37.2733,36.2166,63.69M,0.0171,1.71
2007-03-01,36.3366,35.69,36.7166,35.18,58.85M,-0.0067,-0.67
2007-03-02,35.9866,36.0166,36.79,35.85,59.93M,-0.0096,-0.96
2007-03-05,35.0966,35.1833,35.8666,34.52,55.46M,-0.0247,-2.47
2007-03-06,36.62,35.6733,36.7033,35.6733,49.91M,0.0434,4.34
2007-03-07,36.3666,36.35,36.68,36.1866,31.77M,-0.0069,-0.69
2007-03-08,37.26,37.0333,37.8133,36.9166,36.28M,0.0246,2.46
2007-03-09,37.3966,37.5966,37.6,36.96,26.06M,0.0037,0.37
2007-03-12,37.5933,37.4333,37.8533,37.32,25.13M,0.0053,0.53
2007-03-13,36.3666,37.2466,37.4966,36.2933,44.02M,-0.0326,-3.26
2007-03-14,36.79,36.45,36.86,35.7733,49.97M,0.0116,1.16
2007-03-15,37.09,36.5333,37.3366,36.5333,30.40M,0.0082,0.82
2007-03-16,36.75,37.18,37.3466,36.6333,22.23M,-0.0092,-0.92
2007-03-19,37.6,37.2666,37.6333,37.1933,24.15M,0.0231,2.31
2007-03-20,37.7833,37.52,37.8666,37.4066,15.41M,0.0049,0.49
2007-03-21,38.96,37.9566,39.11,37.8266,42.04M,0.0311,3.11
2007-03-22,38.7933,39.0433,39.21,38.7066,21.58M,-0.0043,-0.43
2007-03-23,39.01,38.92,39.08,38.7933,16.89M,0.0056,0.56
2007-03-26,38.8766,38.92,39.0666,38.4,23.23M,-0.0034,-0.34
2007-03-27,38.7766,38.95,38.95,38.4566,18.51M,-0.0026,-0.26
2007-03-28,38.1633,38.3066,38.5,37.93,22.62M,-0.0158,-1.58
2007-03-29,38.84,38.6666,38.93,38.3,23.18M,0.0177,1.77
2007-03-30,38.8333,38.9,39.0666,38.45,28.56M,-0.0002,-0.02
2007-04-02,39.15,38.95,39.22,38.74,18.87M,0.0082,0.82
2007-04-03,39.7,39.5,39.7866,39.3533,24.30M,0.014,1.4
2007-04-04,39.9966,39.88,40.0266,39.7133,21.91M,0.0075,0.75
2007-04-05,40.1,39.9333,40.2333,39.8333,21.81M,0.0026,0.26
2007-04-09,40.2566,40.28,40.5866,40.17,21.37M,0.0039,0.39
2007-04-10,40.4466,40.2833,40.5,40.26,15.37M,0.0047,0.47
2007-04-11,40.0733,40.6133,40.75,39.9666,28.06M,-0.0092,-0.92
2007-04-12,40.7433,40.1333,40.77,39.96,23.45M,0.0167,1.67
2007-04-13,40.99,40.8333,40.99,40.3333,11.78M,0.0061,0.61
2007-04-16,41.45,41.1833,41.4633,41.1033,20.17M,0.0112,1.12
2007-04-17,41.2066,41.3866,41.3866,40.9233,26.24M,-0.0059,-0.59
2007-04-18,40.8933,40.8333,41.06,40.7433,16.98M,-0.0076,-0.76
2007-04-19,40.57,40.2366,40.62,39.92,30.47M,-0.0079,-0.79
2007-04-20,41.0533,41.13,41.3166,40.87,15.98M,0.0119,1.19
2007-04-23,40.8366,41.0366,41.1566,40.7966,14.39M,-0.0053,-0.53
2007-04-24,40.8966,40.8833,41.01,40.67,18.73M,0.0015,0.15
2007-04-25,41.3466,41.1533,41.43,40.9333,17.79M,0.011,1.1
2007-04-26,41.28,41.3366,41.45,41.0866,20.43M,-0.0016,-0.16
2007-04-27,41.0866,40.8866,41.1133,40.71,24.46M,-0.0047,-0.47
2007-04-30,40.28,40.8133,40.93,40.12,27.58M,-0.0196,-1.96
2007-05-01,40.44,40.4133,40.5933,40.1,28.77M,0.004,0.4
2007-05-02,41.2433,40.63,41.2866,40.5833,26.21M,0.0199,1.99
2007-05-03,41.61,41.38,41.66,41.2133,15.81M,0.0089,0.89
2007-05-04,41.5766,41.7033,41.9833,41.52,15.58M,-0.0008,-0.08
2007-05-07,41.8466,41.7,41.9966,41.7,10.08M,0.0065,0.65
2007-05-08,41.3033,41.64,41.64,41.14,27.63M,-0.013,-1.3
2007-05-09,41.97,41.4,42.0416,41.3533,22.21M,0.0161,1.61
2007-05-10,40.9433,41.7466,41.97,40.85,36.28M,-0.0245,-2.45
2007-05-11,41.9833,41.1666,42.15,41.1666,21.42M,0.0254,2.54
2007-05-14,41.5666,41.9033,42.3333,41.3533,28.34M,-0.0099,-0.99
2007-05-15,41.6266,41.5766,42.0066,41.3433,27.39M,0.0014,0.14
2007-05-16,42.22,41.86,42.33,41.5366,18.25M,0.0143,1.43
2007-05-17,42.05,42.0033,42.2333,41.7033,17.95M,-0.004,-0.4
2007-05-18,42.2833,42.1766,42.3233,41.97,16.46M,0.0055,0.55
2007-05-21,42.3266,42.2466,42.5966,42.21,33.30M,0.001,0.1
2007-05-22,42.3666,42.4433,42.5733,42.3533,23.90M,0.0009,0.09
2007-05-23,42.3,42.6666,42.8,42.0133,41.57M,-0.0016,-0.16
2007-05-24,41.2833,42.2333,42.3666,41.0933,52.78M,-0.024,-2.4
2007-05-25,41.9166,41.7366,42,41.6201,20.32M,0.0153,1.53
2007-05-29,41.7733,42.0833,42.2,41.3333,20.45M,-0.0034,-0.34
2007-05-30,42.1966,41,42.2,40.94,35.05M,0.0101,1.01
2007-05-31,42.2666,42.23,42.5,42.0733,25.50M,0.0017,0.17
2007-06-01,43.3766,42.5833,43.3766,42.5833,24.04M,0.0263,2.63
2007-06-04,43.1833,43.0033,43.33,42.9166,26.45M,-0.0045,-0.45
2007-06-05,43.0333,43.0133,43.14,42.69,27.28M,-0.0035,-0.35
2007-06-06,41.95,42.7333,42.7333,41.95,40.85M,-0.0252,-2.52
2007-06-07,41.2333,41.9966,42.3133,41.08,65.89M,-0.0171,-1.71
2007-06-08,42.0333,41.4166,42.2,41.3766,42.55M,0.0194,1.94
2007-06-11,42.3933,42.0633,42.65,41.8933,22.27M,0.0086,0.86
2007-06-12,41.68,41.9233,42.2733,41.5166,31.15M,-0.0168,-1.68
2007-06-13,42.49,41.96,42.6466,41.95,32.83M,0.0194,1.94
2007-06-14,43.1566,42.6566,43.4033,42.6566,22.37M,0.0157,1.57
2007-06-15,44.14,43.6666,44.14,43.6666,45.04M,0.0228,2.28
2007-06-18,44.18,44.22,44.3833,43.9833,14.04M,0.0009,0.09
2007-06-19,44.23,43.91,44.4166,43.88,20.06M,0.0011,0.11
2007-06-20,43.8533,44.5633,44.6433,43.6666,31.78M,-0.0085,-0.85
2007-06-21,44.4666,43.9166,44.49,43.7633,26.64M,0.014,1.4
2007-06-22,43.8133,44.0666,44.3533,43.6,22.47M,-0.0147,-1.47
2007-06-25,43.48,43.7833,43.96,43.22,29.35M,-0.0076,-0.76
2007-06-26,43.1,43.6466,43.7466,43.1,29.62M,-0.0087,-0.87
2007-06-27,43.7,42.9666,43.7366,42.7333,31.52M,0.0139,1.39
2007-06-28,43.7233,43.4333,44,43.4333,22.27M,0.0005,0.05
2007-06-29,43.8833,43.9066,44.1666,43.41,39.39M,0.0037,0.37
2007-07-02,44.7666,44,44.7666,44,30.62M,0.0201,2.01
2007-07-03,45.1233,44.8333,45.1233,44.8333,13.58M,0.008,0.8
2007-07-05,45.3233,44.87,45.38,44.87,25.94M,0.0044,0.44
2007-07-06,46.1133,45.5766,46.2866,45.5733,31.67M,0.0174,1.74
2007-07-09,46.5466,46.4266,46.7,46.4,28.65M,0.0094,0.94
2007-07-10,45.63,46.0466,46.2066,45.54,40.04M,-0.0197,-1.97
2007-07-11,46.0066,45.8733,46.1533,45.5,25.90M,0.0083,0.83
2007-07-12,47.0166,46.3033,47.2133,46.3033,29.07M,0.022,2.2
2007-07-13,47.6,47.3266,47.6333,47.1633,24.26M,0.0124,1.24
2007-07-16,47.1333,47.23,47.4,46.91,23.92M,-0.0098,-0.98
2007-07-17,47.0966,47.23,47.2666,46.8733,21.79M,-0.0008,-0.08
2007-07-18,46.52,46.5033,46.8466,46.14,34.87M,-0.0122,-1.22
2007-07-19,46.9833,46.8366,47.3066,46.8333,24.54M,0.01,1
2007-07-20,46.7,47.2166,47.3833,46.4,48.01M,-0.006,-0.6
2007-07-23,48.01,47.62,48.0333,47.4633,35.52M,0.0281,2.81
2007-07-24,46.3666,47.6666,47.7633,46.27,53.65M,-0.0342,-3.42
2007-07-25,46.6333,47.07,47.3333,46.0666,46.34M,0.0058,0.58
2007-07-26,44.3966,45.6766,45.72,43.2566,99.23M,-0.048,-4.8
2007-07-27,43.6833,44.5033,44.8133,43.4333,64.01M,-0.0161,-1.61
2007-07-30,45.1,44.1666,45.49,44.1666,50.42M,0.0324,3.24
2007-07-31,44.19,45.7233,45.88,44.19,63.24M,-0.0202,-2.02
2007-08-01,44.0166,43.64,44.41,43.15,106.34M,-0.0039,-0.39
2007-08-02,44.65,44.0666,44.7666,43.9466,46.63M,0.0144,1.44
2007-08-03,42.5833,44.4666,44.5,42.2533,64.85M,-0.0463,-4.63
2007-08-06,43.3433,43.07,43.6366,42.1833,72.40M,0.0178,1.78
2007-08-07,43.6666,43.17,44.1366,42.98,54.84M,0.0075,0.75
2007-08-08,45.1333,44.5466,45.49,44.4966,50.68M,0.0336,3.36
2007-08-09,43.2666,43.7533,44.2666,42.9533,78.72M,-0.0414,-4.14
2007-08-10,42.5166,42.3566,43.6866,41.9633,82.48M,-0.0173,-1.73
2007-08-13,42.9366,43.5166,43.7866,42.91,39.93M,0.0099,0.99
2007-08-14,41.8266,43.1633,43.25,41.6666,50.45M,-0.0259,-2.59
2007-08-15,40.1833,41.37,41.81,40.0166,77.35M,-0.0393,-3.93
2007-08-16,39.5,39.3833,39.8966,37.1366,140.05M,-0.017,-1.7
2007-08-17,40.75,41,42.2933,39.5466,99.86M,0.0316,3.16
2007-08-20,40.8333,41.2033,41.3566,40.1233,64.12M,0.002,0.2
2007-08-21,40.6833,40.6266,41.1666,40.3466,43.30M,-0.0037,-0.37
2007-08-22,42.4333,41.3666,42.5333,41.3666,57.89M,0.043,4.3
2007-08-23,42.65,42.83,42.9933,42.0566,46.37M,0.0051,0.51
2007-08-24,43.6666,42.6633,43.76,42.5333,52.96M,0.0238,2.38
2007-08-27,43.8666,43.6233,44.6,43.49,28.24M,0.0046,0.46
2007-08-28,42.0833,43.3466,43.5033,41.8766,56.97M,-0.0407,-4.07
2007-08-29,43.75,42.8633,43.9633,42.6833,42.50M,0.0396,3.96
2007-08-30,43.5266,43.2666,44.14,43.0666,29.96M,-0.0051,-0.51
2007-08-31,44.65,44.6666,45.4,44.33,53.84M,0.0258,2.58
2007-09-04,45.4033,44.2166,45.7266,44.2166,33.83M,0.0169,1.69
2007-09-05,44.7166,45.02,45.02,44.2566,38.52M,-0.0151,-1.51
2007-09-06,45.0666,44.97,45.29,44.6366,20.81M,0.0078,0.78
2007-09-07,44.05,44.2433,44.4266,43.6833,48.95M,-0.0226,-2.26
2007-09-10,44.0833,44.6666,44.6866,43.42,32.35M,0.0008,0.08
2007-09-11,44.9733,44.6033,45.15,44.5466,32.63M,0.0202,2.02
