Date,SP500
2007-01-03,141.62
2007-01-04,142
2007-01-05,140.91
2007-01-08,141.5
2007-01-09,141.38
2007-01-10,141.76
2007-01-11,142.5
2007-01-12,143.57
2007-01-16,143.28
2007-01-17,143.28
2007-01-18,142.85
2007-01-19,143.22
2007-01-22,142.71
2007-01-23,143.2
2007-01-24,144.22
2007-01-25,142.65
2007-01-26,142.47
2007-01-29,142.37
2007-01-30,143.08
2007-01-31,144.03
2007-02-01,144.91
2007-02-02,145.07
2007-02-05,145.3
2007-02-06,145.14
2007-02-07,145.5
2007-02-08,145.24
2007-02-09,144.25
2007-02-12,143.8
2007-02-13,144.9
2007-02-14,145.86
2007-02-15,146.1
2007-02-16,146.15
2007-02-20,146.36
2007-02-21,146.25
2007-02-22,146.12
2007-02-23,145.66
2007-02-26,145.53
2007-02-27,139.91
2007-02-28,141.3
2007-03-01,140.8
2007-03-02,139.07
2007-03-05,137.61
2007-03-06,140.03
2007-03-07,139.75
2007-03-08,141
2007-03-09,141
2007-03-12,141.32
2007-03-13,138.57
2007-03-14,139.64
2007-03-15,139.75
2007-03-16,139.33
2007-03-19,141.03
2007-03-20,141.8
2007-03-21,144.12
2007-03-22,144.12
2007-03-23,144.32
2007-03-26,143.42
2007-03-27,142.99
2007-03-28,142.04
2007-03-29,142.18
2007-03-30,142.34
2007-04-02,142.4
2007-04-03,143.96
2007-04-04,144
2007-04-05,144.54
2007-04-09,144.72
2007-04-10,144.88
2007-04-11,144.15
2007-04-12,145
2007-04-13,145.48
2007-04-16,146.93
2007-04-17,147.27
2007-04-18,147.6
2007-04-19,147.48
2007-04-20,148.78
2007-04-23,148.26
2007-04-24,148.4
2007-04-25,149.71
2007-04-26,149.88
2007-04-27,149.86
2007-04-30,148.48
2007-05-01,148.85
2007-05-02,149.84
2007-05-03,150.49
2007-05-04,151.19
2007-05-07,151.21
2007-05-08,150.95
2007-05-09,151.44
2007-05-10,149.73
2007-05-11,151.09
2007-05-14,150.82
2007-05-15,150.73
2007-05-16,151.86
2007-05-17,151.53
2007-05-18,152.81
2007-05-21,152.81
2007-05-22,152.55
2007-05-23,152.64
2007-05-24,151.34
2007-05-25,151.98
2007-05-29,152.52
2007-05-30,153.67
2007-05-31,153.55
2007-06-01,154.21
2007-06-04,154.33
2007-06-05,153.78
2007-06-06,152.13
2007-06-07,149.34
2007-06-08,151.27
2007-06-11,151.52
2007-06-12,149.82
2007-06-13,152.14
2007-06-14,153.06
2007-06-15,153.87
2007-06-18,153.79
2007-06-19,154.05
2007-06-20,151.85
2007-06-21,152.76
2007-06-22,151.17
2007-06-25,150.78
2007-06-26,149.23
2007-06-27,151.38
2007-06-28,151.3
2007-06-29,150.51
2007-07-02,152.03
2007-07-03,152.64
2007-07-05,152.5
2007-07-06,153.25
2007-07-09,153.2
2007-07-10,151.05
2007-07-11,152.25
2007-07-12,154.84
2007-07-13,155.1
2007-07-16,155.05
2007-07-17,154.93
2007-07-18,154.72
2007-07-19,155.22
2007-07-20,153.8
2007-07-23,154.35
2007-07-24,151.55
2007-07-25,151.83
2007-07-26,148.43
2007-07-27,145.43
2007-07-30,147.66
2007-07-31,145.71
2007-08-01,146.51
2007-08-02,147.7
2007-08-03,143.9
2007-08-06,146.37
2007-08-07,147.88
2007-08-08,150.02
2007-08-09,145.55
2007-08-10,144.87
2007-08-13,145.47
2007-08-14,143.4
2007-08-15,141.25
2007-08-16,142.55
2007-08-17,145
2007-08-20,144.82
2007-08-21,144.96
2007-08-22,146.9
2007-08-23,146.7
2007-08-24,148.55
2007-08-27,147.05
2007-08-28,143.98
2007-08-29,146.95
2007-08-30,146.36
2007-08-31,147.62
2007-09-04,149.5
2007-09-05,148.06
2007-09-06,148.45
2007-09-07,146.4
2007-09-10,145.9
2007-09-11,147.71
2007-09-12,148.05
2007-09-13,149.11
2007-09-14,149.18
2007-09-17,148.35
2007-09-18,152.55
2007-09-19,153.45
2007-09-20,152.7
2007-09-21,152.85
2007-09-24,152.59
2007-09-25,152.38
2007-09-26,152.55
2007-09-27,153.38
2007-09-28,152.97
2007-10-01,154.52
2007-10-02,154.42
2007-10-03,154.1
2007-10-04,154.23
2007-10-05,156.14
2007-10-08,155.27
2007-10-09,156.79
2007-10-10,156.46
2007-10-11,155.8
2007-10-12,156.7
2007-10-15,155.25
2007-10-16,154.14
2007-10-17,154.63
2007-10-18,153.96
2007-10-19,150.25
2007-10-22,150.8
2007-10-23,152.09
2007-10-24,151.71
2007-10-25,152.23
2007-10-26,153.9
2007-10-29,154.4
2007-10-30,153.22
2007-10-31,155.13
2007-11-01,151.3
2007-11-02,151.44
2007-11-05,150.22
2007-11-06,152.35
2007-11-07,148.27
2007-11-08,147.39
2007-11-09,145.37
2007-11-12,144.02
2007-11-13,148.23
2007-11-14,147.77
2007-11-15,145.68
2007-11-16,146.2
2007-11-19,144.04
2007-11-20,144.8
2007-11-21,141.86
2007-11-23,144.37
2007-11-26,141.11
2007-11-27,142.98
2007-11-28,147.4
2007-11-29,147.48
2007-11-30,148.75
2007-12-03,147.76
2007-12-04,146.56
2007-12-05,149.19
2007-12-06,151.18
2007-12-07,151.03
2007-12-10,152.41
2007-12-11,148.39
2007-12-12,149.32
2007-12-13,149.51
2007-12-14,147.3
2007-12-17,145.32
2007-12-18,146.24
2007-12-19,146.07
2007-12-20,147.1
2007-12-21,149.04
2007-12-24,150.16
2007-12-26,150.67
2007-12-27,148.13
2007-12-28,147.6
2007-12-31,146.74
2008-01-02,144.91
2008-01-03,144.72
2008-01-04,141.2
2008-01-07,141.83
2008-01-08,139.21
2008-01-09,141.05
2008-01-10,142.04
2008-01-11,140.32
2008-01-14,141.75
2008-01-15,138.24
2008-01-16,137.36
2008-01-17,133.5
2008-01-18,132.79
2008-01-22,131.21
2008-01-23,134.06
2008-01-24,135.22
2008-01-25,133.21
2008-01-28,135.55
2008-01-29,136.27
2008-01-30,135.59
2008-01-31,137.54
2008-02-01,139.7
2008-02-04,138.3
2008-02-05,134.01
2008-02-06,132.98
2008-02-07,133.98
2008-02-08,133.38
2008-02-11,134.17
2008-02-12,135.21
2008-02-13,136.89
2008-02-14,135.23
2008-02-15,135.3
2008-02-19,135.31
2008-02-20,136.36
2008-02-21,134.79
2008-02-22,135.92
2008-02-25,137.59
2008-02-26,138.6
2008-02-27,138.39
2008-02-28,137.19
2008-02-29,133.75
2008-03-03,133.7
2008-03-04,133.15
2008-03-05,134.19
2008-03-06,131.04
2008-03-07,129.99
2008-03-10,128.13
2008-03-11,132.61
2008-03-12,131.55
2008-03-13,132.14
2008-03-14,129.48
2008-03-17,128.16
2008-03-18,133.62
2008-03-19,130.56
2008-03-20,133.34
2008-03-24,135.6
2008-03-25,135.32
2008-03-26,133.45
2008-03-27,132.75
2008-03-28,131.62
2008-03-31,132.23
2008-04-01,137.1
2008-04-02,136.82
2008-04-03,137.01
2008-04-04,137.21
2008-04-07,137.24
2008-04-08,136.76
2008-04-09,135.65
2008-04-10,136.16
2008-04-11,133.52
2008-04-14,133
2008-04-15,133.72
2008-04-16,136.42
2008-04-17,136.63
2008-04-18,139.19
2008-04-21,138.95
2008-04-22,137.92
2008-04-23,138.1
2008-04-24,138.97
2008-04-25,139.97
2008-04-28,139.83
2008-04-29,139.23
2008-04-30,138.61
2008-05-01,141.15
2008-05-02,141.58
2008-05-05,140.91
2008-05-06,142.1
2008-05-07,139.53
2008-05-08,140.08
2008-05-09,139.11
2008-05-12,140.67
2008-05-13,140.6
2008-05-14,141.16
2008-05-15,142.79
2008-05-16,142.84
2008-05-19,143.1
2008-05-20,141.91
2008-05-21,139.56
2008-05-22,139.74
2008-05-23,138.06
2008-05-27,138.97
2008-05-28,139.65
2008-05-29,140.28
2008-05-30,140.39
2008-06-02,139.02
2008-06-03,138.31
2008-06-04,138.31
2008-06-05,140.82
2008-06-06,136.56
2008-06-09,136.82
2008-06-10,136.3
2008-06-11,133.93
2008-06-12,134.58
2008-06-13,136.62
2008-06-16,136.59
2008-06-17,135.61
2008-06-18,134.51
2008-06-19,134.91
2008-06-20,132.5
2008-06-23,132.48
2008-06-24,131.46
2008-06-25,132.24
2008-06-26,128.33
2008-06-27,128.06
2008-06-30,128
2008-07-01,128.57
2008-07-02,126.26
2008-07-03,126.33
2008-07-07,125.29
2008-07-08,127.49
2008-07-09,124.68
2008-07-10,125.62
2008-07-11,124.26
2008-07-14,123.1
2008-07-15,121.62
2008-07-16,124.63
2008-07-17,126.16
2008-07-18,126.06
2008-07-21,126.22
2008-07-22,127.85
2008-07-23,128.43
2008-07-24,125.65
2008-07-25,125.89
2008-07-28,123.86
2008-07-29,126.46
2008-07-30,128.66
2008-07-31,127.05
2008-08-01,126.32
2008-08-04,125.14
2008-08-05,128.65
2008-08-06,129.33
2008-08-07,127.15
2008-08-08,129.84
2008-08-11,130.88
2008-08-12,129.52
2008-08-13,129.05
2008-08-14,129.76
2008-08-15,130.29
2008-08-18,128.54
2008-08-19,127.25
2008-08-20,127.96
2008-08-21,128.22
2008-08-22,129.74
2008-08-25,127.35
2008-08-26,127.64
2008-08-27,128.72
2008-08-28,130.55
2008-08-29,128.94
2008-09-02,128.35
2008-09-03,128.26
2008-09-04,124.29
2008-09-05,124.89
2008-09-08,127.46
2008-09-09,123.14
2008-09-10,123.78
2008-09-11,125.66
2008-09-12,125.96
2008-09-15,120.52
2008-09-16,122.04
2008-09-17,116.5
2008-09-18,120.78
2008-09-19,125.96
2008-09-22,121.61
2008-09-23,119.42
2008-09-24,119.4
2008-09-25,121.15
2008-09-26,121.36
2008-09-29,112.35
2008-09-30,116.82
2008-10-01,115.9
2008-10-02,111.63
2008-10-03,110.25
2008-10-06,106.59
2008-10-07,100.4
2008-10-08,98.38
2008-10-09,91.89
2008-10-10,91.5
2008-10-13,100.91
2008-10-14,99.95
2008-10-15,90.79
2008-10-16,94.71
2008-10-17,94.21
2008-10-20,98.75
2008-10-21,95.57
2008-10-22,90.34
2008-10-23,91.1
2008-10-24,87.63
2008-10-27,84.78
2008-10-28,94.19
2008-10-29,92.29
2008-10-30,95.67
2008-10-31,97.39
2008-11-03,97
2008-11-04,100.65
2008-11-05,95.86
2008-11-06,90.9
2008-11-07,93.24
2008-11-10,92.47
2008-11-11,90.19
2008-11-12,85.81
2008-11-13,91.66
2008-11-14,87.74
2008-11-17,85.47
2008-11-18,86.25
2008-11-19,81.38
2008-11-20,75.99
2008-11-21,80.47
2008-11-24,84.89
2008-11-25,86.26
2008-11-26,89.22
2008-11-28,90.12
2008-12-01,82.24
2008-12-02,85.48
2008-12-03,87.67
2008-12-04,85.07
2008-12-05,88.21
2008-12-08,91.32
2008-12-09,89.64
2008-12-10,90.56
2008-12-11,88.21
2008-12-12,88.67
2008-12-15,87.72
2008-12-16,92.05
2008-12-17,91.14
2008-12-18,89.47
2008-12-19,89.23
2008-12-22,88.04
2008-12-23,86.97
2008-12-24,86.85
2008-12-26,87.4
2008-12-29,87.25
2008-12-30,89.14
2008-12-31,90.31
2009-01-02,93.26
2009-01-05,93.02
2009-01-06,93.61
2009-01-07,90.86
2009-01-08,91.26
2009-01-09,89.26
2009-01-12,87.21
2009-01-13,87.28
2009-01-14,84.52
2009-01-15,84.7
2009-01-16,85.23
2009-01-20,80.74
2009-01-21,84.25
2009-01-22,83.02
2009-01-23,83.22
2009-01-26,83.9
2009-01-27,84.74
2009-01-28,87.56
2009-01-29,84.73
2009-01-30,82.97
2009-02-02,82.72
2009-02-03,83.93
2009-02-04,83.54
2009-02-05,84.81
2009-02-06,87.18
2009-02-09,87.38
2009-02-10,83.23
2009-02-11,83.79
2009-02-12,83.93
2009-02-13,82.99
2009-02-17,79.35
2009-02-18,79.23
2009-02-19,78.41
2009-02-20,77.63
2009-02-23,74.92
2009-02-24,77.7
2009-02-25,76.97
2009-02-26,75.78
2009-02-27,74.21
2009-03-02,70.79
2009-03-03,70.18
2009-03-04,71.95
2009-03-05,68.96
2009-03-06,68.95
2009-03-09,68.19
2009-03-10,72.37
2009-03-11,72.72
2009-03-12,75.67
2009-03-13,76.28
2009-03-16,76.09
2009-03-17,78.37
2009-03-18,79.97
2009-03-19,79.08
2009-03-20,77.4
2009-03-23,83.04
2009-03-24,81.36
2009-03-25,81.57
2009-03-26,83.3
2009-03-27,81.8
2009-03-30,78.99
2009-03-31,79.62
2009-04-01,81.26
2009-04-02,83.63
2009-04-03,84.45
2009-04-06,83.75
2009-04-07,81.8
2009-04-08,82.7
2009-04-09,86
2009-04-13,86.1
2009-04-14,84.57
2009-04-15,85.48
2009-04-16,86.77
2009-04-17,87.28
2009-04-20,83.69
2009-04-21,85.32
2009-04-22,84.77
2009-04-23,85.6
2009-04-24,86.87
2009-04-27,86.11
2009-04-28,85.83
2009-04-29,87.6
2009-04-30,87.69
2009-05-01,88.12
2009-05-04,91.15
2009-05-05,90.77
2009-05-06,92.34
2009-05-07,91.04
2009-05-08,93.23
2009-05-11,91.41
2009-05-12,91.24
2009-05-13,89.04
2009-05-14,89.65
2009-05-15,88.94
2009-05-18,91.44
2009-05-19,91.33
2009-05-20,90.76
2009-05-21,89.4
2009-05-22,89.22
2009-05-26,91.6
2009-05-27,89.89
2009-05-28,91.13
2009-05-29,92.81
2009-06-01,95.02
2009-06-02,95.14
2009-06-03,93.94
2009-06-04,94.82
2009-06-05,94.86
2009-06-08,94.48
2009-06-09,94.92
2009-06-10,94.66
2009-06-11,95.08
2009-06-12,95.39
2009-06-15,93.18
2009-06-16,91.94
2009-06-17,91.77
2009-06-18,92.31
2009-06-19,92.84
2009-06-22,90.03
2009-06-23,89.64
2009-06-24,90.39
2009-06-25,92.31
2009-06-26,92.01
2009-06-29,92.98
2009-06-30,92.35
2009-07-01,92.63
2009-07-02,90.07
2009-07-06,90.1
2009-07-07,88.33
2009-07-08,88.29
2009-07-09,88.51
2009-07-10,88.25
2009-07-13,90.39
2009-07-14,90.96
2009-07-15,93.6
2009-07-16,94.44
2009-07-17,94.48
2009-07-20,95.33
2009-07-21,95.79
2009-07-22,95.84
2009-07-23,97.96
2009-07-24,98.39
2009-07-27,98.67
2009-07-28,98.41
2009-07-29,97.93
2009-07-30,98.95
2009-07-31,99.17
2009-08-03,100.67
2009-08-04,100.98
2009-08-05,100.69
2009-08-06,100.23
2009-08-07,101.49
2009-08-10,101.34
2009-08-11,100
2009-08-12,101.12
2009-08-13,101.88
2009-08-14,101.05
2009-08-17,98.57
2009-08-18,99.52
2009-08-19,100.3
2009-08-20,101.31
2009-08-21,103.28
2009-08-24,103.27
2009-08-25,103.5
2009-08-26,103.46
2009-08-27,103.78
2009-08-28,103.73
2009-08-31,102.8
2009-09-01,100.5
2009-09-02,100.11
2009-09-03,100.92
2009-09-04,102.36
2009-09-08,103.27
2009-09-09,104.06
2009-09-10,105.09
2009-09-11,105.14
2009-09-14,105.71
2009-09-15,106.04
2009-09-16,107.66
2009-09-17,107.53
2009-09-18,107.6
2009-09-21,107.29
2009-09-22,107.94
2009-09-23,106.56
2009-09-24,105.32
2009-09-25,104.86
2009-09-28,106.62
2009-09-29,106.32
2009-09-30,106.01
2009-10-01,103.32
2009-10-02,102.85
2009-10-05,104.35
2009-10-06,105.8
2009-10-07,106.11
2009-10-08,106.92
2009-10-09,107.55
2009-10-12,108.03
2009-10-13,107.83
2009-10-14,109.7
2009-10-15,110.07
2009-10-16,109.25
2009-10-19,110.17
2009-10-20,109.63
2009-10-21,108.56
2009-10-22,109.64
2009-10-23,108.46
2009-10-26,107.19
2009-10-27,106.77
