"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2019","315.70","315.70","315.70","315.70","-","0.00%"
"Dec 09, 2019","315.70","316.20","317.00","315.62","3.12M","-0.30%"
"Dec 08, 2019","316.64","316.64","316.64","316.64","-","0.00%"
"Dec 07, 2019","316.64","316.64","316.64","316.64","-","0.00%"
"Dec 06, 2019","316.64","315.93","317.14","315.89","4.75M","0.89%"
"Dec 05, 2019","313.84","314.01","314.01","312.35","3.01M","0.21%"
"Dec 04, 2019","313.18","312.45","313.87","312.11","2.21M","0.62%"
"Dec 03, 2019","311.25","310.39","311.41","308.88","2.58M","-0.69%"
"Dec 02, 2019","313.41","316.43","316.45","312.95","3.54M","-0.84%"
"Nov 29, 2019","316.06","316.69","316.92","315.85","1.79M","-0.38%"
"Nov 28, 2019","317.25","317.25","317.25","317.25","-","0.00%"
"Nov 27, 2019","317.25","316.47","317.28","316.15","2.00M","0.48%"
"Nov 26, 2019","315.73","315.23","316.04","314.84","3.18M","0.20%"
"Nov 25, 2019","315.10","313.75","315.14","313.75","3.51M","0.75%"
"Nov 24, 2019","312.74","312.74","312.74","312.74","-","0.00%"
"Nov 23, 2019","312.74","312.74","312.74","312.74","-","0.00%"
"Nov 22, 2019","312.74","312.86","312.97","311.62","2.16M","0.21%"
"Nov 21, 2019","312.07","312.63","312.74","311.18","2.17M","-0.14%"
"Nov 20, 2019","312.52","313.06","313.59","310.81","4.10M","-0.37%"
"Nov 19, 2019","313.68","314.47","314.47","312.98","3.88M","-0.02%"
"Nov 18, 2019","313.75","313.30","314.06","312.80","2.87M","0.04%"
"Nov 17, 2019","313.61","313.61","313.61","313.61","-","0.00%"
"Nov 16, 2019","313.61","313.61","313.61","313.61","-","0.00%"
"Nov 15, 2019","313.61","312.77","313.61","312.02","3.77M","0.74%"
"Nov 14, 2019","311.30","310.53","311.38","309.84","2.32M","0.14%"
"Nov 13, 2019","310.86","309.62","311.29","309.40","2.32M","0.05%"
"Nov 12, 2019","310.69","310.50","311.75","309.89","2.53M","0.17%"
"Nov 11, 2019","310.16","309.20","310.27","309.00","2.23M","-0.16%"
"Nov 10, 2019","310.67","310.67","310.67","310.67","-","0.00%"
"Nov 09, 2019","310.67","310.67","310.67","310.67","-","0.00%"
"Nov 08, 2019","310.67","309.53","310.69","308.78","2.03M","0.22%"
"Nov 07, 2019","309.98","310.32","311.18","309.41","2.78M","0.36%"
"Nov 06, 2019","308.88","308.76","309.14","307.77","2.71M","0.05%"
"Nov 05, 2019","308.74","309.36","309.65","308.43","4.95M","-0.12%"
"Nov 04, 2019","309.11","309.63","309.76","308.71","2.52M","0.38%"
"Nov 03, 2019","307.95","307.95","307.95","307.95","-","0.00%"
"Nov 02, 2019","307.95","307.95","307.95","307.95","-","0.00%"
"Nov 01, 2019","307.95","306.65","307.95","306.47","2.41M","0.98%"
"Oct 31, 2019","304.97","305.83","305.83","303.45","4.22M","-0.29%"
"Oct 30, 2019","305.87","305.13","306.22","303.69","4.16M","0.31%"
"Oct 29, 2019","304.91","304.73","305.94","304.56","3.44M","-0.03%"
"Oct 28, 2019","305.01","304.55","305.56","304.55","4.82M","0.56%"
"Oct 27, 2019","303.31","303.31","303.31","303.31","-","0.00%"
"Oct 26, 2019","303.31","303.31","303.31","303.31","-","0.00%"
"Oct 25, 2019","303.31","301.45","303.90","301.42","2.52M","0.40%"
"Oct 24, 2019","302.11","302.57","302.75","301.15","1.94M","0.18%"
"Oct 23, 2019","301.57","300.39","301.63","300.19","1.80M","0.29%"
"Oct 22, 2019","300.70","302.30","302.56","300.57","4.54M","-0.35%"
"Oct 21, 2019","301.75","301.09","301.87","300.67","3.79M","0.72%"
"Oct 20, 2019","299.60","299.60","299.60","299.60","-","0.00%"
"Oct 19, 2019","299.60","299.60","299.60","299.60","-","0.00%"
"Oct 18, 2019","299.60","300.40","301.05","298.65","2.56M","-0.44%"
"Oct 17, 2019","300.91","301.35","301.92","300.20","2.13M","0.28%"
"Oct 16, 2019","300.07","300.03","300.82","299.59","3.14M","-0.18%"
"Oct 15, 2019","300.62","298.73","301.37","298.65","3.20M","0.98%"
"Oct 14, 2019","297.69","297.58","298.28","297.24","1.62M","-0.07%"
"Oct 13, 2019","297.89","297.89","297.89","297.89","-","0.00%"
"Oct 12, 2019","297.89","297.89","297.89","297.89","-","0.00%"
