"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2019","68.330","68.330","68.330","68.330","-","0.00%"
"Dec 09, 2019","68.330","68.570","68.680","68.330","21.95M","-0.52%"
"Dec 08, 2019","68.690","68.690","68.690","68.690","-","0.00%"
"Dec 07, 2019","68.690","68.690","68.690","68.690","-","0.00%"
"Dec 06, 2019","68.690","68.620","68.710","68.545","23.18M","0.91%"
"Dec 05, 2019","68.070","68.240","68.240","67.960","21.04M","-0.19%"
"Dec 04, 2019","68.200","68.000","68.210","67.940","21.76M","0.92%"
"Dec 03, 2019","67.580","67.230","67.620","67.020","28.46M","-0.37%"
"Dec 02, 2019","67.830","68.100","68.140","67.530","38.86M","-0.51%"
"Nov 29, 2019","68.180","68.220","68.340","68.140","11.59M","-0.70%"
"Nov 28, 2019","68.660","68.660","68.660","68.660","-","0.00%"
"Nov 27, 2019","68.660","68.570","68.690","68.535","16.94M","0.26%"
"Nov 26, 2019","68.480","68.410","68.540","68.360","24.28M","-0.06%"
"Nov 25, 2019","68.520","68.280","68.520","68.280","19.33M","0.79%"
"Nov 24, 2019","67.980","67.980","67.980","67.980","-","0.00%"
"Nov 23, 2019","67.980","67.980","67.980","67.980","-","0.00%"
"Nov 22, 2019","67.980","68.060","68.110","67.820","14.97M","0.28%"
"Nov 21, 2019","67.790","67.870","67.900","67.620","14.29M","-0.13%"
"Nov 20, 2019","67.880","67.940","68.100","67.675","20.66M","-0.63%"
"Nov 19, 2019","68.310","68.600","68.625","68.220","18.66M","-0.13%"
"Nov 18, 2019","68.400","68.240","68.460","68.130","20.59M","0.12%"
"Nov 17, 2019","68.320","68.320","68.320","68.320","-","0.00%"
"Nov 16, 2019","68.320","68.320","68.320","68.320","-","0.00%"
"Nov 15, 2019","68.320","68.050","68.320","68.045","23.49M","0.63%"
"Nov 14, 2019","67.890","67.730","67.930","67.660","17.87M","-0.28%"
"Nov 13, 2019","68.080","67.840","68.117","67.820","21.45M","-0.35%"
"Nov 12, 2019","68.320","68.280","68.455","68.180","18.57M","0.04%"
"Nov 11, 2019","68.290","68.020","68.310","68.015","8.54M","-0.13%"
"Nov 10, 2019","68.380","68.380","68.380","68.380","-","0.00%"
"Nov 09, 2019","68.380","68.380","68.380","68.380","-","0.00%"
"Nov 08, 2019","68.380","68.180","68.380","68.030","10.30M","-0.06%"
"Nov 07, 2019","68.420","68.590","68.640","68.390","21.27M","0.31%"
"Nov 06, 2019","68.210","68.310","68.380","68.111","16.60M","-0.04%"
"Nov 05, 2019","68.240","68.290","68.350","68.115","15.73M","-0.19%"
"Nov 04, 2019","68.370","68.480","68.526","68.230","20.43M","0.51%"
"Nov 03, 2019","68.020","68.020","68.020","68.020","-","0.00%"
"Nov 02, 2019","68.020","68.020","68.020","68.020","-","0.00%"
"Nov 01, 2019","68.020","67.850","68.020","67.805","32.34M","0.89%"
"Oct 31, 2019","67.420","67.370","67.420","67.110","22.05M","-0.24%"
"Oct 30, 2019","67.580","67.240","67.580","66.920","22.59M","0.42%"
"Oct 29, 2019","67.300","67.060","67.330","67.030","15.25M","-0.03%"
"Oct 28, 2019","67.320","67.120","67.340","67.110","16.49M","0.45%"
"Oct 27, 2019","67.020","67.020","67.020","67.020","-","0.00%"
"Oct 26, 2019","67.020","67.020","67.020","67.020","-","0.00%"
"Oct 25, 2019","67.020","66.760","67.070","66.750","17.18M","0.10%"
"Oct 24, 2019","66.950","67.070","67.080","66.820","23.62M","0.18%"
"Oct 23, 2019","66.830","66.600","66.830","66.520","14.21M","0.54%"
"Oct 22, 2019","66.470","66.680","66.910","66.460","21.76M","-0.24%"
"Oct 21, 2019","66.630","66.710","66.750","66.593","29.78M","0.54%"
"Oct 20, 2019","66.270","66.270","66.270","66.270","-","0.00%"
"Oct 19, 2019","66.270","66.270","66.270","66.270","-","0.00%"
