"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2019","42.9000","42.9000","42.9000","42.9000","-","0.00%"
"Dec 09, 2019","42.9000","43.0300","43.1700","42.8800","37.61M","-0.39%"
"Dec 08, 2019","43.0700","43.0700","43.0700","43.0700","-","0.00%"
"Dec 07, 2019","43.0700","43.0700","43.0700","43.0700","-","0.00%"
"Dec 06, 2019","43.0700","43.0700","43.1300","42.9800","56.77M","0.58%"
"Dec 05, 2019","42.8200","42.7200","42.8800","42.6500","43.35M","0.45%"
"Dec 04, 2019","42.6300","42.6300","42.7000","42.5700","47.03M","0.76%"
"Dec 03, 2019","42.3100","42.1600","42.3200","41.9700","50.65M","-0.52%"
"Dec 02, 2019","42.5300","42.6650","42.6800","42.3700","59.78M","-0.02%"
"Nov 29, 2019","42.5400","42.6400","42.7200","42.5400","35.48M","-1.57%"
"Nov 28, 2019","43.2200","43.2200","43.2200","43.2200","-","0.00%"
"Nov 27, 2019","43.2200","43.0900","43.2400","43.0144","30.40M","0.12%"
"Nov 26, 2019","43.1700","43.0600","43.1900","42.8900","49.57M","-0.30%"
"Nov 25, 2019","43.3000","43.1400","43.3400","43.1000","57.05M","1.00%"
"Nov 24, 2019","42.8700","42.8700","42.8700","42.8700","-","0.00%"
"Nov 23, 2019","42.8700","42.8700","42.8700","42.8700","-","0.00%"
"Nov 22, 2019","42.8700","42.9500","42.9900","42.7700","23.52M","0.00%"
"Nov 21, 2019","42.8700","42.7900","42.8900","42.6800","43.84M","-0.21%"
"Nov 20, 2019","42.9600","43.0000","43.1600","42.7800","51.99M","-0.44%"
"Nov 19, 2019","43.1500","43.3800","43.3800","43.0900","40.85M","0.21%"
"Nov 18, 2019","43.0600","43.1400","43.2200","43.0150","52.55M","-0.16%"
"Nov 17, 2019","43.1300","43.1300","43.1300","43.1300","-","0.00%"
"Nov 16, 2019","43.1300","43.1300","43.1300","43.1300","-","0.00%"
"Nov 15, 2019","43.1300","43.0700","43.2200","43.0300","67.67M","0.79%"
"Nov 14, 2019","42.7900","42.7200","42.8500","42.5700","48.74M","0.07%"
"Nov 13, 2019","42.7600","42.6600","42.8400","42.6000","63.20M","-0.77%"
"Nov 12, 2019","43.0900","43.2550","43.2800","43.0100","57.45M","-0.65%"
"Nov 11, 2019","43.3700","43.1400","43.4150","43.0950","47.09M","-0.71%"
"Nov 10, 2019","43.6800","43.6800","43.6800","43.6800","-","0.00%"
"Nov 09, 2019","43.6800","43.6800","43.6800","43.6800","-","0.00%"
"Nov 08, 2019","43.6800","43.7300","43.8250","43.5900","68.67M","-0.91%"
"Nov 07, 2019","44.0800","44.0900","44.2500","44.0250","97.60M","0.73%"
"Nov 06, 2019","43.7600","43.8700","43.9100","43.6200","61.67M","-0.32%"
"Nov 05, 2019","43.9000","43.9100","43.9400","43.7000","62.35M","0.57%"
"Nov 04, 2019","43.6500","43.7700","43.8200","43.5800","62.19M","0.99%"
"Nov 03, 2019","43.2200","43.2200","43.2200","43.2200","-","0.00%"
"Nov 02, 2019","43.2200","43.2200","43.2200","43.2200","-","0.00%"
"Nov 01, 2019","43.2200","43.0300","43.2500","43.0100","72.77M","1.50%"
"Oct 31, 2019","42.5800","42.7600","42.7700","42.3600","56.06M","-0.79%"
"Oct 30, 2019","42.9200","42.6300","42.9200","42.4500","60.88M","0.44%"
"Oct 29, 2019","42.7300","42.7300","42.8600","42.6900","33.95M","-0.51%"
"Oct 28, 2019","42.9500","42.9000","43.0600","42.8800","56.28M","0.59%"
"Oct 27, 2019","42.7000","42.7000","42.7000","42.7000","-","0.00%"
"Oct 26, 2019","42.7000","42.7000","42.7000","42.7000","-","0.00%"
"Oct 25, 2019","42.7000","42.4000","42.7250","42.3800","49.44M","0.71%"
