"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2019","93.170","93.080","93.340","92.735","4.49M","0.20%"
"Dec 08, 2019","92.980","92.980","92.980","92.980","-","0.00%"
"Dec 07, 2019","92.980","92.980","92.980","92.980","-","0.00%"
"Dec 06, 2019","92.980","92.750","93.460","92.730","5.49M","0.17%"
"Dec 05, 2019","92.820","92.560","92.860","92.293","8.04M","0.09%"
"Dec 04, 2019","92.740","92.190","93.080","92.100","8.35M","0.39%"
"Dec 03, 2019","92.380","91.750","92.510","91.690","8.01M","0.61%"
"Dec 02, 2019","91.820","93.100","93.168","91.800","15.93M","-1.48%"
"Nov 29, 2019","93.200","93.550","93.970","93.170","5.38M","-0.28%"
"Nov 28, 2019","93.460","93.460","93.460","93.460","-","0.00%"
"Nov 27, 2019","93.460","93.220","93.690","92.950","6.54M","0.32%"
"Nov 26, 2019","93.160","92.200","93.290","92.140","8.52M","1.21%"
"Nov 25, 2019","92.050","91.890","92.510","91.850","6.36M","0.39%"
"Nov 24, 2019","91.690","91.690","91.690","91.690","-","0.00%"
"Nov 23, 2019","91.690","91.690","91.690","91.690","-","0.00%"
"Nov 22, 2019","91.690","92.250","92.260","91.220","6.33M","-0.33%"
"Nov 21, 2019","91.990","93.030","93.140","91.990","9.73M","-1.37%"
"Nov 20, 2019","93.270","93.330","93.600","92.890","5.40M","-0.02%"
"Nov 19, 2019","93.290","93.390","93.580","93.090","4.94M","0.13%"
"Nov 18, 2019","93.170","92.770","93.580","92.710","5.44M","0.52%"
"Nov 17, 2019","92.690","92.690","92.690","92.690","-","0.00%"
"Nov 16, 2019","92.690","92.690","92.690","92.690","-","0.00%"
"Nov 15, 2019","92.690","92.280","92.710","92.075","5.71M","0.53%"
"Nov 14, 2019","92.200","91.730","92.200","91.530","5.28M","0.80%"
"Nov 13, 2019","91.470","90.840","91.680","90.800","6.77M","0.82%"
"Nov 12, 2019","90.730","91.390","91.930","90.640","6.30M","-0.70%"
"Nov 11, 2019","91.370","91.100","91.620","91.100","3.30M","0.23%"
"Nov 10, 2019","91.160","91.160","91.160","91.160","-","0.00%"
"Nov 09, 2019","91.160","91.160","91.160","91.160","-","0.00%"
"Nov 08, 2019","91.160","91.190","91.710","90.950","6.04M","-0.19%"
"Nov 07, 2019","91.330","91.800","92.060","91.015","8.69M","-0.95%"
"Nov 06, 2019","92.210","92.130","92.590","91.972","6.81M","0.29%"
"Nov 05, 2019","91.940","93.150","93.458","91.600","14.54M","-1.63%"
"Nov 04, 2019","93.460","94.050","94.180","93.310","7.24M","-0.78%"
"Nov 03, 2019","94.190","94.190","94.190","94.190","-","0.00%"
"Nov 02, 2019","94.190","94.190","94.190","94.190","-","0.00%"
"Nov 01, 2019","94.190","94.370","94.730","93.400","11.39M","-0.07%"
"Oct 31, 2019","94.260","94.650","94.705","93.920","6.59M","-0.17%"
"Oct 30, 2019","94.420","93.960","94.420","93.420","7.25M","0.55%"
"Oct 29, 2019","93.900","93.700","94.320","93.470","6.42M","0.34%"
"Oct 28, 2019","93.580","94.010","94.100","93.400","5.45M","-0.54%"
"Oct 27, 2019","94.090","94.090","94.090","94.090","-","0.00%"
"Oct 26, 2019","94.090","94.090","94.090","94.090","-","0.00%"
"Oct 25, 2019","94.090","94.710","94.850","93.910","5.31M","-1.02%"
"Oct 24, 2019","95.060","95.390","95.390","94.700","4.46M","-0.13%"
"Oct 23, 2019","95.180","95.220","95.220","94.390","5.09M","0.14%"
"Oct 22, 2019","95.050","95.550","96.000","94.850","5.97M","-0.33%"
"Oct 21, 2019","95.360","94.570","95.370","94.520","7.28M","0.73%"
"Oct 20, 2019","94.670","94.670","94.670","94.670","-","0.00%"
"Oct 19, 2019","94.670","94.670","94.670","94.670","-","0.00%"
"Oct 18, 2019","94.670","93.850","94.800","93.810","7.52M","0.80%"
"Oct 17, 2019","93.920","93.520","94.070","93.430","6.01M","0.56%"
"Oct 16, 2019","93.400","93.270","93.400","92.760","5.25M","0.08%"
"Oct 15, 2019","93.330","93.360","93.520","92.780","5.58M","0.05%"
"Oct 14, 2019","93.280","93.580","93.800","92.980","8.36M","0.02%"
"Oct 13, 2019","93.260","93.260","93.260","93.260","-","0.00%"
"Oct 12, 2019","93.260","93.260","93.260","93.260","-","0.00%"
"Oct 11, 2019","93.260","93.520","94.030","93.210","6.80M","-0.08%"
"Oct 10, 2019","93.330","93.060","93.530","92.755","4.82M","0.19%"
"Oct 09, 2019","93.150","93.270","93.550","92.950","4.92M","0.32%"
"Oct 08, 2019","92.850","93.280","93.630","92.490","5.09M","-0.51%"
"Oct 07, 2019","93.330","93.140","93.860","93.040","7.24M","-0.28%"
"Oct 06, 2019","93.590","93.590","93.590","93.590","-","0.00%"
"Oct 05, 2019","93.590","93.590","93.590","93.590","-","0.00%"
"Oct 04, 2019","93.590","93.270","93.640","93.130","10.80M","0.54%"
"Oct 03, 2019","93.090","92.100","93.270","91.950","10.37M","0.98%"
"Oct 02, 2019","92.190","92.590","92.670","91.580","7.19M","-0.39%"
"Oct 01, 2019","92.550","93.260","93.670","92.470","17.02M","-1.06%"
"Sep 30, 2019","93.540","93.280","93.830","93.180","6.17M","0.38%"
"Sep 29, 2019","93.190","93.190","93.190","93.190","-","0.00%"
"Sep 28, 2019","93.190","93.190","93.190","93.190","-","0.00%"
"Sep 27, 2019","93.190","93.970","94.040","92.590","9.39M","-0.61%"
"Sep 26, 2019","93.760","93.390","93.990","93.190","5.25M","0.82%"
"Sep 25, 2019","93.000","92.860","93.265","92.610","8.32M","0.08%"
"Sep 24, 2019","92.930","93.350","93.532","92.560","7.23M","-0.83%"
"Sep 23, 2019","93.710","93.650","94.105","93.410","5.25M","0.15%"
"Sep 20, 2019","93.570","93.740","94.010","93.300","8.49M","-0.04%"
"Sep 19, 2019","93.610","93.450","93.930","93.280","5.70M","0.48%"
"Sep 18, 2019","93.160","93.710","93.970","92.440","8.47M","-0.35%"
"Sep 17, 2019","93.490","92.840","93.520","92.690","10.47M","1.09%"
"Sep 16, 2019","92.480","91.650","92.570","91.500","6.52M","1.03%"
"Sep 13, 2019","91.540","92.120","92.950","91.370","12.70M","-1.17%"
"Sep 12, 2019","92.620","92.710","93.180","92.100","8.43M","0.49%"
"Sep 11, 2019","92.170","92.390","92.390","91.470","8.80M","0.10%"
"Sep 10, 2019","92.080","92.790","92.820","91.350","10.51M","-1.06%"
"Sep 09, 2019","93.070","93.580","93.840","92.870","8.23M","-0.65%"
"Sep 06, 2019","93.680","93.640","93.950","93.380","5.28M","0.19%"
"Sep 05, 2019","93.500","94.000","94.080","93.170","10.60M","-0.63%"
"Sep 04, 2019","94.090","93.600","94.200","93.580","7.14M","0.78%"
"Sep 03, 2019","93.360","92.230","93.360","92.110","8.58M","0.97%"
"Aug 30, 2019","92.460","92.530","92.680","91.990","5.55M","0.13%"
"Aug 29, 2019","92.340","92.020","92.410","91.810","3.59M","0.80%"
"Aug 28, 2019","91.610","91.330","91.770","91.150","4.60M","0.23%"
"Aug 27, 2019","91.400","92.220","92.520","91.360","3.81M","-0.38%"
"Aug 26, 2019","91.750","91.550","91.840","91.130","4.49M","0.74%"
"Aug 23, 2019","91.080","92.230","92.880","90.750","7.40M","-1.38%"
"Aug 22, 2019","92.350","91.860","92.400","91.370","4.35M","0.56%"
"Aug 21, 2019","91.840","91.830","92.090","91.450","2.80M","0.37%"
"Aug 20, 2019","91.500","92.420","92.660","91.470","5.59M","-0.75%"
"Aug 19, 2019","92.190","91.860","92.405","91.520","5.78M","0.75%"
"Aug 16, 2019","91.500","90.920","91.720","90.750","6.52M","0.87%"
"Aug 15, 2019","90.710","89.970","90.830","89.810","6.17M","1.10%"
"Aug 14, 2019","89.720","90.870","90.945","89.540","6.41M","-1.62%"
"Aug 13, 2019","91.200","91.220","91.540","90.500","6.18M","0.11%"
"Aug 12, 2019","91.100","91.330","91.500","90.640","6.72M","-0.38%"
"Aug 09, 2019","91.450","91.180","91.700","90.505","7.71M","-0.01%"
"Aug 08, 2019","91.460","90.430","91.480","89.430","5.49M","1.68%"
"Aug 07, 2019","89.950","89.470","90.470","87.850","9.55M","1.04%"
"Aug 06, 2019","89.020","88.160","89.460","88.030","7.49M","1.06%"
"Aug 05, 2019","88.090","89.430","89.450","86.930","7.14M","-1.79%"
"Aug 02, 2019","89.700","89.380","90.230","89.130","6.35M","0.45%"
"Aug 01, 2019","89.300","89.600","90.140","88.800","12.39M","-0.10%"
"Jul 31, 2019","89.390","89.780","90.390","88.830","8.86M","-0.33%"
"Jul 30, 2019","89.690","88.960","90.020","88.890","6.45M","0.72%"
"Jul 29, 2019","89.050","88.990","89.640","88.890","5.72M","0.29%"
"Jul 27, 2019","88.790","88.790","88.790","88.790","-","0.00%"
"Jul 26, 2019","88.790","88.520","88.960","88.160","3.68M","0.34%"
"Jul 25, 2019","88.490","88.770","88.930","88.070","5.03M","-0.46%"
"Jul 24, 2019","88.900","88.880","89.050","88.470","3.28M","0.28%"
"Jul 23, 2019","88.650","88.030","88.750","87.770","5.39M","1.01%"
"Jul 22, 2019","87.760","88.080","88.140","87.490","5.28M","-0.18%"
"Jul 19, 2019","87.920","89.390","89.510","87.760","7.97M","-1.47%"
"Jul 18, 2019","89.230","89.060","89.500","88.570","4.73M","0.02%"
"Jul 17, 2019","89.210","89.750","90.020","88.750","5.34M","-0.40%"
"Jul 16, 2019","89.570","89.510","89.900","89.250","5.35M","-0.23%"
"Jul 15, 2019","89.780","89.960","90.350","89.640","4.14M","0.00%"
"Jul 12, 2019","89.780","90.020","90.125","89.460","3.45M","-0.18%"
"Jul 11, 2019","89.940","90.850","90.980","89.590","7.72M","-1.12%"
"Jul 10, 2019","90.960","90.920","91.220","90.440","6.91M","0.53%"
"Jul 09, 2019","90.480","90.030","90.640","89.800","4.10M","0.49%"
"Jul 08, 2019","90.040","89.740","90.335","89.640","5.10M","0.32%"
"Jul 05, 2019","89.750","89.300","90.130","88.511","7.82M","-0.45%"
"Jul 03, 2019","90.160","89.200","90.235","89.190","6.90M","1.33%"
"Jul 02, 2019","88.980","87.910","89.060","87.760","9.71M","1.56%"
"Jul 01, 2019","87.610","88.250","88.250","86.680","11.88M","0.34%"
"Jun 28, 2019","87.310","87.500","88.220","87.310","10.53M","-0.06%"
"Jun 27, 2019","87.360","86.870","87.470","86.810","7.12M","1.16%"
"Jun 26, 2019","86.360","88.020","88.180","86.180","11.38M","-1.89%"
"Jun 25, 2019","88.020","89.330","89.570","88.010","7.97M","-1.28%"
"Jun 24, 2019","89.160","90.160","90.170","89.100","7.24M","-0.62%"
"Jun 21, 2019","89.720","90.480","90.550","89.375","11.47M","-1.27%"
"Jun 20, 2019","90.870","90.890","91.110","90.645","6.54M","0.44%"
"Jun 19, 2019","90.470","89.770","90.650","89.340","5.96M","0.62%"
"Jun 18, 2019","89.910","90.430","90.870","89.480","8.30M","-0.18%"
"Jun 17, 2019","90.070","89.310","90.110","89.190","8.17M","0.30%"
"Jun 14, 2019","89.800","89.640","90.180","89.480","4.81M","0.17%"
"Jun 13, 2019","89.650","89.500","89.650","89.160","4.88M","0.37%"
"Jun 12, 2019","89.320","89.070","89.630","89.000","5.12M","0.33%"
"Jun 11, 2019","89.030","89.050","89.320","88.420","4.05M","0.17%"
"Jun 10, 2019","88.880","89.120","89.410","88.510","4.71M","-0.30%"
"Jun 08, 2019","89.150","89.150","89.150","89.150","-","0.00%"
"Jun 07, 2019","89.150","89.380","89.640","89.005","4.80M","0.30%"
"Jun 06, 2019","88.880","88.850","89.000","88.190","6.50M","0.15%"
"Jun 05, 2019","88.750","87.380","88.750","87.130","11.72M","2.09%"
"Jun 04, 2019","86.930","87.200","87.250","86.080","7.32M","-0.32%"
"Jun 03, 2019","87.210","87.150","87.390","86.565","7.06M","0.39%"
"Jun 01, 2019","86.870","86.870","86.870","86.870","-","0.00%"
"May 31, 2019","86.870","86.160","87.380","85.930","7.01M","0.42%"
"May 30, 2019","86.510","86.200","86.830","86.100","6.83M","0.41%"
"May 29, 2019","86.160","87.060","87.700","85.790","8.02M","-1.19%"
"May 28, 2019","87.200","88.420","88.610","87.160","6.72M","-1.06%"
"May 27, 2019","88.130","88.130","88.130","88.130","-","0.00%"
"May 25, 2019","88.130","88.130","88.130","88.130","-","0.00%"
"May 24, 2019","88.130","88.250","88.560","88.020","3.58M","0.33%"
"May 23, 2019","87.840","87.310","87.930","87.180","5.61M","0.14%"
"May 22, 2019","87.720","87.390","87.730","87.260","3.80M","0.35%"
"May 21, 2019","87.410","86.860","87.610","86.860","4.62M","0.84%"
"May 20, 2019","86.680","87.560","87.820","86.330","6.71M","-1.48%"
"May 18, 2019","87.980","87.980","87.980","87.980","-","0.00%"
"May 17, 2019","87.980","87.830","88.170","87.540","4.42M","-0.28%"
"May 16, 2019","88.230","87.620","88.520","87.530","5.95M","0.59%"
"May 15, 2019","87.710","87.090","87.960","86.810","5.23M","0.65%"
"May 14, 2019","87.140","87.000","87.440","86.830","3.59M","0.41%"
"May 13, 2019","86.780","86.210","86.960","86.130","5.58M","-0.12%"
"May 11, 2019","86.880","86.880","86.880","86.880","-","0.00%"
"May 10, 2019","86.880","85.860","87.140","85.760","5.02M","1.06%"
"May 09, 2019","85.970","85.620","86.140","85.005","6.87M","0.23%"
"May 08, 2019","85.770","85.940","86.580","85.720","5.91M","-0.01%"
"May 07, 2019","85.780","87.110","87.210","85.280","8.73M","-1.82%"
"May 06, 2019","87.370","87.190","87.630","86.825","5.22M","-0.33%"
"May 04, 2019","87.660","87.660","87.660","87.660","-","0.00%"
"May 03, 2019","87.660","87.220","87.750","86.990","5.16M","0.79%"
"May 02, 2019","86.970","86.770","87.820","86.770","7.58M","0.03%"
"May 01, 2019","86.940","87.020","87.910","86.820","12.96M","-0.07%"
"Apr 30, 2019","87.000","86.020","87.070","85.620","6.40M","1.14%"
"Apr 29, 2019","86.020","86.750","87.090","85.960","5.90M","-0.96%"
"Apr 27, 2019","86.850","86.850","86.850","86.850","-","0.00%"
