Date,t3month,T1yr,T3yr,T10yr,T5yr,phil,unnemploy,inflation rate
2007-01-02,4.99,5,4.7,4.7,4.678,7.5,4.7,2.5
2007-01-03,5.041,5,4.7,4.7,4.659,7.5,4.7,2.5
2007-01-04,5.024,5,4.6,4.6,4.596,7.5,4.7,2.5
2007-01-05,5.017,5,4.7,4.6,4.643,7.5,4.7,2.5
2007-01-08,5.043,5,4.7,4.7,4.659,7.5,4.7,2.5
2007-01-09,5.062,5,4.7,4.7,4.662,7.5,4.7,2.5
2007-01-10,5.067,5,4.7,4.7,4.678,7.5,4.7,2.5
2007-01-11,5.076,5.1,4.8,4.7,4.73,7.5,4.7,2.5
2007-01-12,5.079,5.1,4.8,4.8,4.768,7.5,4.7,2.5
2007-01-15,5.079,5.1,4.8,4.8,4.768,7.5,4.7,2.5
2007-01-16,5.078,5.1,4.8,4.8,4.741,7.5,4.7,2.5
2007-01-22,5.11,5.1,4.8,4.8,4.771,7.5,4.7,2.1
2007-01-23,5.114,5.1,4.9,4.8,4.813,7.5,4.7,2.1
2007-01-24,5.119,5.1,4.9,4.8,4.811,7.5,4.7,2.1
2007-01-25,5.123,5.1,4.9,4.9,4.875,7.5,4.7,2.1
2007-01-26,5.121,5.1,4.9,4.9,4.871,7.5,4.7,2.1
2007-01-29,5.11,5.1,4.9,4.9,4.885,7.5,4.7,2.1
2007-01-30,5.125,5.1,4.9,4.9,4.866,7.5,4.7,2.1
2007-01-31,5.103,5.1,4.9,4.8,4.809,7.5,4.7,2.1
2007-02-01,5.097,5.1,4.9,4.8,4.844,7.5,4.7,2.1
2007-02-02,5.111,5.1,4.9,4.8,4.819,7.5,4.6,2.1
2007-02-05,5.115,5.1,4.9,4.8,4.8,7.5,4.6,2.1
2007-02-06,5.135,5.1,4.8,4.8,4.757,7.5,4.6,2.1
2007-02-07,5.14,5.1,4.8,4.7,4.73,7.5,4.6,2.1
2007-02-08,5.144,5.1,4.8,4.7,4.73,7.5,4.6,2.1
2007-02-09,5.142,5.1,4.8,4.8,4.778,7.5,4.6,2.1
2007-02-12,5.141,5.1,4.8,4.8,4.809,7.5,4.6,2.1
2007-02-13,5.146,5.1,4.9,4.8,4.81,7.5,4.6,2.1
2007-02-14,5.14,5.1,4.8,4.7,4.73,7.5,4.6,2.1
2007-02-15,5.139,5,4.7,4.7,4.694,3.5,4.6,2.1
2007-02-16,5.146,5.1,4.7,4.7,4.685,3.5,4.6,2.1
2007-02-19,5.146,,,4.7,4.685,3.5,4.6,2.1
2007-02-20,5.161,5,4.7,4.7,4.669,3.5,4.6,2.1
2007-02-21,5.16,5.1,4.7,4.7,4.687,3.5,4.6,2.4
2007-02-22,5.16,5.1,4.8,4.7,4.731,3.5,4.6,2.4
2007-02-23,5.168,5.1,4.7,4.7,4.659,3.5,4.6,2.4
2007-02-26,5.157,5.1,4.7,4.6,4.616,3.5,4.6,2.4
2007-02-27,5.109,4.9,4.5,4.5,4.463,3.5,4.6,2.4
2007-02-28,5.114,5,4.6,4.6,4.53,3.5,4.6,2.4
2007-03-02,5.09,4.9,4.5,4.5,4.44,3.5,4.6,2.4
2007-03-05,5.074,4.9,4.5,4.5,4.431,3.5,4.6,2.4
2007-03-06,5.083,4.9,4.5,4.5,4.485,3.5,4.6,2.4
2007-03-07,5.082,4.9,4.5,4.5,4.438,3.5,4.6,2.4
2007-03-08,5.076,4.9,4.5,4.5,4.462,3.5,4.6,2.4
2007-03-09,5.064,5,4.6,4.6,4.554,3.5,4.5,2.4
2007-03-12,5.068,5,4.6,4.6,4.509,3.5,4.5,2.4
2007-03-13,5.047,4.9,4.4,4.5,4.409,3.5,4.5,2.4
2007-03-14,5.041,4.9,4.5,4.5,4.456,3.5,4.5,2.4
2007-03-15,5.019,4.9,4.5,4.5,4.467,2.8,4.5,2.4
2007-03-16,5.002,5,4.5,4.5,4.473,2.8,4.5,2.8
2007-03-19,5.006,5,4.5,4.6,4.498,2.8,4.5,2.8
2007-03-20,5.031,4.9,4.5,4.6,4.479,2.8,4.5,2.8
2007-03-21,5.03,4.9,4.5,4.5,4.431,2.8,4.5,2.8
2007-03-22,5.025,4.9,4.5,4.6,4.482,2.8,4.5,2.8
2007-03-23,5.028,4.9,4.5,4.6,4.515,2.8,4.5,2.8
2007-03-26,5.043,4.9,4.5,4.6,4.497,2.8,4.5,2.8
2007-03-27,5.01,4.9,4.5,4.6,4.492,2.8,4.5,2.8
2007-03-28,5.025,4.9,4.5,4.6,4.497,2.8,4.5,2.8
2007-03-29,5.03,4.9,4.5,4.6,4.538,2.8,4.5,2.8
2007-03-30,5.017,4.9,4.5,4.7,4.541,2.8,4.5,2.8
2007-04-02,5.016,4.9,4.5,4.6,4.537,2.8,4.5,2.8
2007-04-03,5.026,4.9,4.6,4.7,4.567,2.8,4.5,2.8
2007-04-04,5.025,4.9,4.5,4.7,4.546,2.8,4.5,2.8
2007-04-05,5.007,4.9,4.6,4.7,4.571,2.8,4.5,2.8
2007-04-06,5.012,5,4.7,4.8,4.567,2.8,4.4,2.8
2007-04-09,5.001,5,4.7,4.7,4.67,2.8,4.4,2.8
2007-04-10,4.974,5,4.6,4.7,4.629,2.8,4.4,2.8
2007-04-11,4.999,5,4.7,4.7,4.649,2.8,4.4,2.8
2007-04-12,5.004,5,4.7,4.7,4.658,2.8,4.4,2.8
2007-04-13,4.991,5,4.7,4.8,4.691,2.8,4.4,2.8
2007-04-16,4.985,5,4.7,4.7,4.669,2.8,4.4,2.8
2007-04-17,4.979,4.9,4.6,4.7,4.603,2.8,4.4,2.6
2007-04-18,4.968,4.9,4.6,4.7,4.565,2.8,4.4,2.6
2007-04-19,4.962,4.9,4.6,4.7,4.567,2.9,4.4,2.6
2007-04-20,4.955,4.9,4.6,4.7,4.573,2.9,4.4,2.6
2007-04-23,4.954,4.9,4.6,4.6,4.54,2.9,4.4,2.6
2007-04-24,4.948,4.9,4.5,4.6,4.515,2.9,4.4,2.6
2007-04-25,4.942,4.9,4.6,4.7,4.556,2.9,4.4,2.6
2007-04-26,4.926,4.9,4.6,4.7,4.605,2.9,4.4,2.6
2007-04-27,4.913,4.9,4.6,4.7,4.592,2.9,4.4,2.6
2007-04-30,4.835,4.9,4.5,4.6,4.516,2.9,4.4,2.6
2007-05-01,4.875,4.9,4.6,4.6,4.541,2.9,4.4,2.6
2007-05-02,4.87,4.9,4.6,4.6,4.551,2.9,4.4,2.6
2007-05-03,4.869,4.9,4.6,4.7,4.596,2.9,4.4,2.6
2007-05-04,4.856,4.9,4.6,4.6,4.556,2.9,4.5,2.6
2007-05-07,4.845,4.9,4.6,4.6,4.548,2.9,4.5,2.6
2007-05-08,4.875,4.9,4.6,4.6,4.546,2.9,4.5,2.6
2007-05-09,4.848,4.9,4.6,4.7,4.592,2.9,4.5,2.6
2007-05-10,4.832,4.9,4.6,4.6,4.553,2.9,4.5,2.6
2007-05-11,4.825,4.9,4.6,4.7,4.588,2.9,4.5,2.6
2007-05-14,4.809,4.9,4.7,4.7,4.615,2.9,4.5,2.6
2007-05-15,4.792,4.9,4.7,4.7,4.63,2.9,4.5,2.7
2007-05-16,4.724,4.8,4.7,4.7,4.631,2.9,4.5,2.7
2007-05-17,4.723,4.9,4.7,4.8,4.682,3.7,4.5,2.7
2007-05-18,4.768,4.9,4.8,4.8,4.732,3.7,4.5,2.7
2007-05-21,4.804,5,4.7,4.8,4.716,3.7,4.5,2.7
2007-05-22,4.867,5,4.8,4.8,4.765,3.7,4.5,2.7
2007-05-23,4.88,5,4.8,4.9,4.774,3.7,4.5,2.7
2007-05-25,4.861,4.9,4.8,4.9,4.798,3.7,4.5,2.7
2007-05-28,4.861,,,4.9,4.798,3.7,4.5,2.7
2007-05-29,4.808,5,4.8,4.9,4.835,3.7,4.5,2.7
2007-05-30,4.82,5,4.8,4.9,4.827,3.7,4.5,2.7
