card_id,playerClass,type,name,cost,attack,health,rarity,durability,collectible,race,set,text,flavor,targeting_arrow_text,
KARA_00_07,MAGE,SPELL,Astral Portal,1,,,,,,,KARA,Summon a random <b>Legendary</b> minion.,,,
NEW1_008a,DRUID,SPELL,Ancient Teachings,0,,,,,,,EXPERT1,Draw a card.,,,
BRM_010t2,DRUID,MINION,Druid of the Flame,3,2,5,COMMON,,,BEAST,BRM,,,,
AT_132,NEUTRAL,MINION,Justicar Trueheart,6,6,3,LEGENDARY,,TRUE,,TGT,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,It's like putting racing stripes and a giant spoiler on your hero power.,,
OG_141,NEUTRAL,MINION,Faceless Behemoth,10,10,10,COMMON,,TRUE,,OG,,"Rejected names: Forty-Foot Faceless, Big ol' No-face, Huge Creature Sans Face, Teddy.",,
CRED_17,NEUTRAL,MINION,Rob Pardo,9,9,9,LEGENDARY,,,,CREDITS,You can't start a game without this minion in your deck.,,,
OG_337e,NEUTRAL,ENCHANTMENT,Eve of Destruction,,,,,,,,OG,Stats increased.,,,
BRMA08_1H,NEUTRAL,HERO,General Drakkisath,,,50,,,,,BRM,,,,
GVG_011a,NEUTRAL,ENCHANTMENT,Shrink Ray,,,,,,,,GVG,-2 Attack this turn.,,,
NAX8_02H_TB,NEUTRAL,HERO_POWER,Harvest,2,,,,,,,TB,"<b>Hero Power</b>
Draw a card. Gain a Mana Crystal.",,,
AT_131,NEUTRAL,MINION,Eydis Darkbane,3,3,4,LEGENDARY,,TRUE,,TGT,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.","HATES being called ""the wonder twins"".",,
CS2_122e,NEUTRAL,ENCHANTMENT,Enhanced,,,,,,,,CORE,Raid Leader is granting this minion +1 Attack.,,,
LOEA05_02ha,NEUTRAL,HERO_POWER,Trogg Hate Minions!,0,,,,,,,LOE,"<b>Passive Hero Power</b>
 Enemy minions cost (11). Swap at the start of your turn.",,,
CS2_102_H1_AT_132,WARRIOR,HERO_POWER,Tank Up!,2,,,,,,,HERO_SKINS,"<b>Hero Power</b>
Gain 4 Armor.",,,
CFM_334e,NEUTRAL,ENCHANTMENT,Smuggling,,,,,,,,GANGS,+2/+2 from Smuggler's Crate.,,,
EX1_583,NEUTRAL,MINION,Priestess of Elune,6,5,4,COMMON,,TRUE,,EXPERT1,<b>Battlecry:</b> Restore 4 Health to your hero.,"If she threatens to ""moon"" you, it's not what you think.",,
TB_PickYourFate_11rand,NEUTRAL,SPELL,Dire Fate: Murlocs,0,,,,,,,TB,Turn each minion in play into a 1/1 Murloc.,,,
LOE_007t,WARLOCK,SPELL,Cursed!,2,,,,,,,LOE,"While this is in your hand, take 2 damage at the start of your turn.",,,
CFM_095,NEUTRAL,MINION,Weasel Tunneler,1,1,1,EPIC,,TRUE,BEAST,GANGS,<b>Deathrattle:</b> Shuffle this minion into your opponent's deck.,He's the reason the First Bank of Gadgetzan has steel floors.,,
BRM_018,PALADIN,MINION,Dragon Consort,5,5,5,RARE,,TRUE,DRAGON,BRM,<b>Battlecry:</b> The next Dragon you play costs (2) less.,Everybody wants someone to snuggle with. Even giant armored scaly draconic beasts of destruction.,,
PRO_001a,NEUTRAL,SPELL,I Am Murloc,4,,,,,,,PROMO,"Summon three, four, or five 1/1 Murlocs.",,,
BRMA10_5H,NEUTRAL,MINION,Chromatic Drake,4,7,7,,,,DRAGON,BRM,,,,
BRMA11_1,NEUTRAL,HERO,Vaelastrasz the Corrupt,,,30,,,,,BRM,,,,
OG_027,SHAMAN,SPELL,Evolve,1,,,RARE,,TRUE,,OG,Transform your minions into random minions that cost (1) more.,"So you say you want an evolution. Well, you know. We all want to change the board.",,
NAX1_01,NEUTRAL,HERO,Anub'Rekhan,,,30,,,,,NAXX,,,,
GVG_030,DRUID,MINION,Anodized Robo Cub,2,2,2,COMMON,,TRUE,MECHANICAL,GVG,"<b>Taunt</b>. <b>Choose One -</b>
+1 Attack; or +1 Health.",It's adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,,
CFM_094,WARLOCK,SPELL,Felfire Potion,6,,,RARE,,TRUE,,GANGS,Deal $5 damage to all characters.,Kazakus has a squad of imps bottling Felfire round-the-clock and he *still* can't keep up with demand.,,
DS1h_292_H1,HUNTER,HERO_POWER,Steady Shot,2,,,FREE,,,,HERO_SKINS,"<b>Hero Power</b>
Deal $2 damage to the enemy hero.",,,
CS2_227,NEUTRAL,MINION,Venture Co. Mercenary,5,7,6,COMMON,,TRUE,,EXPERT1,Your minions cost (3) more.,No Job is too big.  No fee is too big.,,
KAR_062,NEUTRAL,MINION,Netherspite Historian,2,1,3,COMMON,,TRUE,,KARA,"<b>Battlecry:</b> If you're holding a Dragon, <b>Discover</b>
a Dragon.",She can tell you all about the history of people not STANDING IN THE GREEN BEAM!,,
CFM_712_t17,NEUTRAL,MINION,Jade Golem,10,17,17,,,,,GANGS,,,,
