video_num,duration,comments,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring,tags,views
1,1164,4553,19645,4573,6073,3253,387,242,7346,10581,300,10704,4439,1174,209,24924,"['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']",47227110
2,977,265,544,139,62,58,258,113,443,413,132,56,268,116,131,203,"['alternative energy', 'cars', 'climate change', 'culture', 'environment', 'global issues', 'science', 'sustainability', 'technology']",3200520
3,1286,124,964,45,183,60,104,78,395,230,166,27,146,230,54,142,"['computers', 'entertainment', 'interface design', 'media', 'music', 'performance', 'simplicity', 'software', 'technology']",1636292
4,1116,200,760,291,32,59,105,36,53,380,1070,132,460,230,35,85,"['MacArthur grant', 'activism', 'business', 'cities', 'environment', 'green', 'inequality', 'politics', 'pollution']",1697550
5,1190,593,3202,1390,942,318,110,72,67,5433,2893,4606,3736,2542,248,61,"['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']",12005869
6,1305,672,1102,721,377,301,706,397,285,1038,5211,1350,2423,441,669,335,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']",20685401
7,992,919,477,2484,320,225,277,72,226,438,316,193,311,308,290,61,"['Christianity', 'God', 'atheism', 'comedy', 'culture', 'humor', 'performance', 'religion', 'storytelling']",3769987
8,1198,46,195,98,26,34,26,175,121,153,25,37,63,57,9,5,"['architecture', 'collaboration', 'culture', 'design', 'library']",967741
9,1485,852,562,70,283,60,177,211,145,623,441,313,764,60,154,83,"['God', 'TED Brain Trust', 'atheism', 'brain', 'cognitive science', 'consciousness', 'evolution', 'philosophy', 'religion']",2567958
10,1262,900,838,767,476,116,306,111,304,2556,459,26,1543,371,245,209,"['Christianity', 'God', 'culture', 'happiness', 'leadership', 'motivation', 'philanthropy', 'religion']",3095993
11,1414,79,169,258,18,187,608,148,51,34,21,14,160,66,7,39,"['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']",1211416
12,1538,55,70,96,16,20,5,201,33,14,41,7,42,20,26,1,"['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']",387877
13,1550,71,188,86,9,16,240,83,57,70,111,11,5,5,2,3,"['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']",693341
14,527,242,1014,277,34,55,104,19,32,461,471,919,4643,77,23,188,"['demo', 'design', 'interface design', 'technology']",4531020
15,1057,99,83,89,20,32,104,216,67,14,31,6,30,49,29,11,"['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",358304
